RADAR RUNNER 30m LOSERS — terminal badge spec (RR_TP_FRAC=0.25%, candle-SL 0.3% cap, MINVISIT=1)

====================================================================================================
RADAR RUNNER 30m CLOCK (30m)  |  entry=close, SL=candle+0.3%cap, TP=0.25%  |  fired signals=705
  win-rate: per-badge=91.1%  non-overlap(taken n=659)=91.5%   ->  LOSERS=63 (8.9% of badges)  [SL=63, timeout-neg=0]
  by year:  2025: 35 losers / 455 badges   2026: 28 losers / 250 badges
----------------------------------------------------------------------------------------------------
  #   | FIRE UTC (end)   | local+1     | side  | entry     | SL        | TP        | bars | out | R      
  1   | 2025-01-15 06:30 | 01-15 07:30 | SHORT |   188.390 |   190.169 |   187.919 |    2 | SL  | -1.11
  2   | 2025-01-17 05:30 | 01-17 06:30 | SHORT |   212.240 |   213.789 |   211.709 |    6 | SL  | -1.14
  3   | 2025-03-22 02:00 | 03-22 03:00 | SHORT |   127.980 |   129.116 |   127.660 |    4 | SL  | -1.11
  4   | 2025-04-21 14:30 | 04-21 15:30 | LONG  |   139.740 |   136.240 |   140.089 |    5 | SL  | -1.04
  5   | 2025-04-24 21:30 | 04-24 22:30 | SHORT |   150.180 |   151.934 |   149.805 |    4 | SL  | -1.09
  6   | 2025-05-08 05:30 | 05-08 06:30 | SHORT |   150.350 |   151.704 |   149.974 |    5 | SL  | -1.11
  7   | 2025-05-15 00:30 | 05-15 01:30 | LONG  |   177.640 |   175.961 |   178.084 |    3 | SL  | -1.11
  8   | 2025-05-17 22:30 | 05-17 23:30 | SHORT |   164.430 |   167.481 |   164.019 |    7 | SL  | -1.05
  9   | 2025-05-20 09:00 | 05-20 10:00 | LONG  |   167.680 |   165.981 |   168.099 |    4 | SL  | -1.10
  10  | 2025-05-29 15:00 | 05-29 16:00 | LONG  |   170.580 |   168.493 |   171.006 |    4 | SL  | -1.08
  11  | 2025-05-30 00:30 | 05-30 01:30 | LONG  |   166.810 |   166.020 |   167.227 |    1 | SL  | -1.21
  12  | 2025-06-10 10:00 | 06-10 11:00 | LONG  |   158.880 |   157.556 |   159.277 |    3 | SL  | -1.12
  13  | 2025-06-15 01:30 | 06-15 02:30 | SHORT |   145.020 |   146.027 |   144.657 |    7 | SL  | -1.14
  14  | 2025-06-30 06:00 | 06-30 07:00 | LONG  |   151.230 |   149.999 |   151.608 |    2 | SL  | -1.12
  15  | 2025-07-02 18:00 | 07-02 19:00 | SHORT |   151.500 |   153.168 |   151.121 |    5 | SL  | -1.09
  16  | 2025-07-06 01:30 | 07-06 02:30 | SHORT |   146.930 |   148.033 |   146.563 |   10 | SL  | -1.13
  17  | 2025-07-07 08:30 | 07-07 09:30 | LONG  |   152.540 |   151.684 |   152.921 |    4 | SL  | -1.18
  18  | 2025-07-13 01:00 | 07-13 02:00 | SHORT |   160.840 |   161.984 |   160.438 |    7 | SL  | -1.14
  19  | 2025-07-13 03:30 | 07-13 04:30 | SHORT |   160.990 |   161.924 |   160.588 |    2 | SL  | -1.17
  20  | 2025-08-09 23:00 | 08-10 00:00 | SHORT |   180.040 |   182.606 |   179.590 |    4 | SL  | -1.07
  21  | 2025-08-16 04:30 | 08-16 05:30 | LONG  |   187.740 |   186.140 |   188.209 |    3 | SL  | -1.12
  22  | 2025-08-28 17:00 | 08-28 18:00 | SHORT |   207.400 |   213.729 |   206.882 |    9 | SL  | -1.03
  23  | 2025-09-06 03:00 | 09-06 04:00 | LONG  |   204.250 |   202.660 |   204.761 |    5 | SL  | -1.13
  24  | 2025-09-16 13:30 | 09-16 14:30 | LONG  |   235.390 |   233.787 |   235.978 |    1 | SL  | -1.15
  25  | 2025-09-18 10:30 | 09-18 11:30 | SHORT |   245.360 |   247.781 |   244.747 |    7 | SL  | -1.10
  26  | 2025-09-21 01:30 | 09-21 02:30 | SHORT |   240.040 |   241.382 |   239.440 |    5 | SL  | -1.18
  27  | 2025-09-27 16:00 | 09-27 17:00 | LONG  |   203.420 |   201.663 |   203.929 |    3 | SL  | -1.12
  28  | 2025-09-27 17:30 | 09-27 18:30 | SHORT |   200.980 |   203.469 |   200.478 |    9 | SL  | -1.08
  29  | 2025-10-05 17:00 | 10-05 18:00 | LONG  |   230.990 |   227.994 |   231.567 |    3 | SL  | -1.08
  30  | 2025-10-07 13:00 | 10-07 14:00 | LONG  |   231.370 |   228.423 |   231.948 |    2 | SL  | -1.08
  31  | 2025-10-28 06:00 | 10-28 07:00 | SHORT |   198.620 |   201.021 |   198.123 |    3 | SL  | -1.08
  32  | 2025-11-01 23:00 | 11-02 00:00 | LONG  |   186.070 |   184.814 |   186.535 |    5 | SL  | -1.15
  33  | 2025-11-04 21:00 | 11-04 22:00 | LONG  |   153.350 |   151.692 |   153.733 |    1 | SL  | -1.09
  34  | 2025-11-28 11:30 | 11-28 12:30 | SHORT |   140.380 |   142.406 |   140.029 |    5 | SL  | -1.07
