# S4-GEO stage 3 (15m), tick=0.01. EQ cells = first analysis of previously-excluded bars; RECUT cells = re-cuts of mined data. 1m spent throughout.
cell,class,full_n,full_pup,full_lift,disc_n,disc_pup,disc_base,disc_lift,disc_ci_lo,disc_ci_hi,disc_blocks,hold_n,hold_pup,hold_base,hold_lift,hold_ci_lo,hold_ci_hi,hold_blocks,survivor,holdout_pass
T1:O>C,RECUT,926,46.44,-1.97,654,45.41,47.31,-1.9,-4.05,0.13,9,271,48.71,50.81,-2.11,-5.33,1.45,4,False,False
T1:O<C,RECUT,860,50.12,1.71,582,48.8,47.31,1.49,-0.64,3.24,9,278,52.88,50.81,2.06,-1.53,5.39,4,False,False
T1:O=C,EQ,32,59.38,10.97,28,60.71,47.31,13.4,-3.25,37.54,9,4,50.0,50.81,-0.81,,,4,False,False
T1:O>M,RECUT,887,47.69,-0.72,625,47.04,47.31,-0.27,-2.02,1.96,9,261,49.04,50.81,-1.77,-3.36,-0.05,4,False,False
T1:O<M,RECUT,860,48.6,0.2,589,47.54,47.31,0.23,-2.88,2.48,9,271,50.92,50.81,0.11,-1.72,1.44,4,False,False
T1:O=M,EQ,71,54.93,6.52,50,48.0,47.31,0.69,-9.92,11.55,9,21,71.43,50.81,20.61,11.29,39.95,4,False,False
T1:O>P,RECUT,874,47.83,-0.58,615,47.48,47.31,0.17,-2.64,3.29,9,258,48.45,50.81,-2.36,-4.09,-0.37,4,False,False
T1:O<P,RECUT,835,49.22,0.82,575,47.65,47.31,0.34,-2.73,2.78,9,260,52.69,50.81,1.88,-1.44,4.68,4,False,False
T1:O=P,EQ,109,46.79,-1.62,74,43.24,47.31,-4.07,-8.8,1.59,9,35,54.29,50.81,3.47,-4.59,14.56,4,False,False
T1:C>M,RECUT,862,52.78,4.38,595,51.76,47.31,4.45,2.97,5.83,9,266,54.89,50.81,4.07,1.6,6.46,4,False,False
T1:C<M,RECUT,877,44.01,-4.39,613,42.9,47.31,-4.41,-5.89,-2.73,9,264,46.59,50.81,-4.22,-6.46,-2.12,4,False,False
T1:C=M,EQ,79,49.37,0.96,56,48.21,47.31,0.9,-5.96,8.19,9,23,52.17,50.81,1.36,-9.24,17.65,4,False,False
T1:C>P,RECUT,850,51.06,2.65,589,50.08,47.31,2.77,1.95,3.62,9,260,53.08,50.81,2.26,-2.14,4.99,4,False,False
T1:C<P,RECUT,863,45.42,-2.98,601,43.93,47.31,-3.38,-4.56,-2.18,9,262,48.85,50.81,-1.96,-3.76,0.44,4,False,False
T1:C=P,EQ,105,51.43,3.02,74,52.7,47.31,5.39,-1.37,11.0,9,31,48.39,50.81,-2.43,-16.46,12.56,4,False,False
T1:M>P,RECUT,743,47.38,-1.03,518,46.72,47.31,-0.59,-3.07,1.99,9,225,48.89,50.81,-1.92,-3.44,0.08,4,False,False
T1:M<P,RECUT,768,47.01,-1.4,521,44.15,47.31,-3.16,-4.88,-1.26,9,246,52.85,50.81,2.03,0.8,2.64,4,False,False
T1:M=P,EQ,307,54.4,5.99,225,56.0,47.31,8.69,3.6,13.72,9,82,50.0,50.81,-0.81,-6.94,6.91,4,True,False
T2:O=C=M,EQ,4,75.0,26.6,4,75.0,47.31,27.69,,,9,0,,50.81,,,,0,False,False
