# S4-GEO stage 3 (15m), tick=0.01. EQ cells = first analysis of previously-excluded bars; RECUT cells = re-cuts of mined data. 1m spent throughout.
cell,class,full_n,full_pup,full_lift,disc_n,disc_pup,disc_base,disc_lift,disc_ci_lo,disc_ci_hi,disc_blocks,hold_n,hold_pup,hold_base,hold_lift,hold_ci_lo,hold_ci_hi,hold_blocks,survivor,holdout_pass
T2:O=C=P,EQ,5,80.0,31.6,5,80.0,47.31,32.69,4.55,52.65,9,0,,50.81,,,,0,False,False
T2:O=M=P,EQ,21,57.14,8.74,14,57.14,47.31,9.83,-19.74,27.52,9,7,57.14,50.81,6.33,-37.44,48.98,4,False,False
T2:C=M=P,EQ,23,60.87,12.46,17,64.71,47.31,17.4,4.25,30.24,9,6,50.0,50.81,-0.81,-34.94,28.66,4,False,False
T2:O=C&M=P,EQ,10,80.0,31.6,8,87.5,47.31,40.19,19.08,53.61,9,2,50.0,50.81,-0.81,,,4,False,False
T2:O=M&C=P,EQ,6,83.33,34.93,5,80.0,47.31,32.69,3.52,53.53,9,1,100.0,50.81,49.19,,,4,False,False
T2:O=P&C=M,EQ,3,100.0,51.6,3,100.0,47.31,52.69,,,9,0,,50.81,,,,0,False,False
T2:O=C=M=P,EQ,2,100.0,51.6,2,100.0,47.31,52.69,,,9,0,,50.81,,,,0,False,False
T3:O>=rest,RECUT,709,46.12,-2.28,505,45.54,47.31,-1.77,-4.94,1.46,9,203,47.29,50.81,-3.52,-6.12,-0.27,4,False,False
T3:O<=rest,RECUT,666,49.55,1.14,454,48.02,47.31,0.71,-2.85,3.55,9,212,52.83,50.81,2.02,-2.83,6.75,4,False,False
T3:C>=rest,RECUT,672,50.15,1.74,470,48.94,47.31,1.63,-1.11,4.08,9,202,52.97,50.81,2.16,0.15,4.37,4,False,False
T3:C<=rest,RECUT,715,44.06,-4.35,513,42.88,47.31,-4.43,-5.68,-3.41,9,202,47.03,50.81,-3.78,-6.77,-1.52,4,False,False
T3:M>=rest,RECUT,175,49.14,0.74,122,51.64,47.31,4.33,-0.88,10.06,9,53,43.4,50.81,-7.42,-14.0,0.01,4,False,False
T3:M<=rest,RECUT,202,63.86,15.46,134,63.43,47.31,16.12,8.81,24.22,9,67,64.18,50.81,13.37,6.91,19.43,4,True,True
T3:P>=rest,RECUT,431,50.12,1.71,297,48.48,47.31,1.17,-2.16,4.46,9,134,53.73,50.81,2.92,0.14,5.7,4,False,False
T3:P<=rest,RECUT,445,53.26,4.85,310,53.23,47.31,5.92,2.5,9.9,9,135,53.33,50.81,2.52,-5.31,9.62,4,True,False
T4:C>MP>O,EQ,76,47.37,-1.04,63,44.44,47.31,-2.87,-12.32,6.43,9,13,61.54,50.81,10.72,2.93,12.75,4,False,False
T4:C>O>MP,EQ,29,79.31,30.91,23,82.61,47.31,35.3,29.31,42.43,9,6,66.67,50.81,15.85,-14.68,40.79,4,False,False
T4:MP>C>O,EQ,22,54.55,6.14,14,64.29,47.31,16.98,-3.02,42.95,9,8,37.5,50.81,-13.31,-29.67,9.7,4,False,False
T4:MP>O>C,EQ,17,64.71,16.3,16,62.5,47.31,15.19,1.11,27.06,9,1,100.0,50.81,49.19,,,4,False,False
T4:O>MP>C,EQ,84,41.67,-6.74,56,44.64,47.31,-2.67,-15.81,10.49,9,28,35.71,50.81,-15.1,-39.39,12.02,4,False,False
T4:O>C>MP,EQ,29,68.97,20.56,18,72.22,47.31,24.91,14.0,37.75,9,11,63.64,50.81,12.82,-3.92,36.25,4,False,False
