# S1 geometry grid. Required lift = fee/(TP+SL) (analytic). Rates from the 4-day snapshot (both regimes spent/known) — geometry selection material, NOT edge evidence.
h_min,tp_pct,sl_pct,span_pct,null,res_rate,tpL_res,tpS_res,whip,unres,ambigL,ambigS,be_taker_taker,lift_taker_taker,be_maker_taker,lift_maker_taker,be_maker_maker,lift_maker_maker,payable_mm,ambig_flag
15,0.2,0.1,0.3,33.33,99.1,34.84,34.09,29.93,0.93,0.15,0.09,63.33,30.0,55.0,21.67,46.67,13.33,False,False
15,0.2,0.15,0.35000000000000003,42.86,97.4,43.23,43.15,11.97,2.55,0.06,0.05,68.57,25.71,61.43,18.57,54.29,11.43,False,False
15,0.2,0.2,0.4,50.0,95.3,50.06,49.94,0.0,4.69,0.0,0.0,72.5,22.5,66.25,16.25,60.0,10.0,True,False
15,0.25,0.05,0.3,16.67,99.5,18.23,17.18,63.76,0.51,0.18,0.15,46.67,30.0,38.33,21.67,30.0,13.33,False,False
15,0.25,0.075,0.325,23.08,98.9,24.94,23.84,49.57,1.11,0.11,0.08,50.77,27.69,43.08,20.0,35.38,12.31,False,False
15,0.25,0.1,0.35000000000000003,28.57,98.1,30.02,29.49,37.9,1.9,0.07,0.04,54.29,25.71,47.14,18.57,40.0,11.43,False,False
15,0.25,0.15,0.4,37.5,95.7,37.91,37.82,20.16,4.31,0.01,0.01,60.0,22.5,53.75,16.25,47.5,10.0,True,False
15,0.25,0.2,0.45000000000000007,44.44,92.8,44.69,44.03,7.99,7.16,0.01,0.0,64.44,20.0,58.89,14.44,53.33,8.89,True,False
15,0.3,0.05,0.35000000000000003,14.29,98.9,15.44,14.64,68.15,1.05,0.08,0.09,40.0,25.71,32.86,18.57,25.71,11.43,False,False
15,0.3,0.075,0.375,20.0,97.8,21.29,20.22,55.1,2.15,0.03,0.06,44.0,24.0,37.33,17.33,30.67,10.67,False,False
15,0.3,0.1,0.4,25.0,96.7,26.14,25.3,43.73,3.3,0.02,0.02,47.5,22.5,41.25,16.25,35.0,10.0,True,False
15,0.3,0.15,0.45000000000000007,33.33,93.4,33.56,32.94,26.01,6.55,0.01,0.0,53.33,20.0,47.78,14.44,42.22,8.89,True,False
15,0.3,0.2,0.5,40.0,89.8,40.13,38.63,13.54,10.21,0.0,0.0,58.0,18.0,53.0,13.0,48.0,8.0,True,False
30,0.1,0.05,0.15,33.33,100.0,33.33,32.36,34.3,0.02,3.34,3.37,93.33,60.0,76.67,43.33,60.0,26.67,False,False
