event,bucket_id,side_label,forced_z,vacuum_frac
1,346,B,3.92,0.0253
2,347,B,2.62,0.0563
3,699,B,5.12,0.0553
4,1274,B,2.88,0.0973
5,1473,B,2.31,0.0312
6,2299,S,5.68,0.0453
7,2387,B,2.98,0.082
8,2654,S,2.09,0.092
9,2657,B,2.26,0.0437
10,3191,S,2.21,0.0144
11,3699,S,2.03,0.0115
12,3824,S,3.4,0.0203
13,4024,S,4.12,0.0015
14,4029,S,2.12,0.0679
15,4174,S,2.0,0.0302
16,4616,S,4.84,0.0495
