ts,bucket_id,variant,side,entry,exit_reason,exit_price,pnl_pct,minutes_held,mfe_before_exit,giveback
1782950880.427,18292,unlocked,long,77.35,SIGNAL,77.36,0.0129,1.08,0.0905,0.0776
1782953628.735,18331,unlocked,long,77.28,SIGNAL,78.31,1.3328,39.39,1.3328,0.0
1782959440.405,18449,unlocked,long,78.09,SIGNAL,78.43,0.4354,16.07,0.5122,0.0768
1782962979.914,18526,unlocked,long,78.38,SIGNAL,78.33,-0.0638,0.54,0.0638,0.1276
1782967908.216,18645,unlocked,long,78.34,SL,78.105,-0.3,9.21,0.0638,0.3638
1782975742.657,18800,unlocked,long,77.92,SL,77.6862,-0.3,2.46,0.0128,0.3128
1782990494.34,19622,unlocked,long,81.87,SIGNAL,82.63,0.9283,5.16,0.9649,0.0366
1782993483.081,19823,unlocked,long,82.22,SIGNAL,82.27,0.0608,7.48,0.3041,0.2432
1782996923.384,19954,unlocked,long,81.31,SIGNAL,81.34,0.0369,0.49,0.0738,0.0369
1782999663.081,20030,unlocked,long,81.55,SIGNAL,81.59,0.049,4.46,0.2575,0.2085
1783005911.045,20122,unlocked,long,80.63,SIGNAL,81.02,0.4837,48.71,0.5457,0.062
1783032975.819,20461,unlocked,long,80.81,SIGNAL,80.7,-0.1361,0.8,0.0124,0.1485
1783048849.434,20976,unlocked,long,80.79,SIGNAL,80.88,0.1114,8.2,0.1857,0.0743
1783052920.428,21038,unlocked,long,80.57,SIGNAL,80.7,0.1614,9.72,0.1862,0.0248
1783055918.922,21075,unlocked,long,80.67,SIGNAL,81.1,0.533,20.36,0.6446,0.1116
1783064156.58,21238,unlocked,long,81.21,SIGNAL,81.41,0.2463,15.13,0.2832,0.0369
1783068200.323,21340,unlocked,long,81.43,SIGNAL,81.35,-0.0982,0.05,0.086,0.1842
1783077091.889,21671,unlocked,long,81.5,SIGNAL,81.46,-0.0491,0.06,0.0123,0.0613
1783079828.969,21730,unlocked,long,81.55,SIGNAL,81.63,0.0981,7.12,0.2207,0.1226
1783086470.817,21870,unlocked,long,81.56,SIGNAL,81.55,-0.0123,6.72,0.2943,0.3065
1783088396.223,21938,unlocked,long,81.03,SIGNAL,81.03,0.0,0.38,0.0494,0.0494
1783094765.124,22167,unlocked,long,81.3,SIGNAL,81.25,-0.0615,0.95,0.0,0.0615
1782666906.283,10274,locked,short,71.59,SIGNAL,71.29,0.4191,16.76,0.4749,0.0559
1782736686.043,12249,locked,short,73.74,SIGNAL,73.35,0.5289,7.66,0.7865,0.2577
1782745597.079,12584,locked,short,72.84,SL,73.0585,-0.3,1.88,0.0961,0.3961
1782748030.808,12640,locked,short,73.82,SL,74.0415,-0.3,2.68,0.0406,0.3406
1782826352.845,14642,locked,short,72.06,SL,72.2762,-0.3,0.04,0.0,0.3
1782858688.586,15350,locked,short,73.27,SIGNAL,73.34,-0.0955,6.26,0.0546,0.1501
1782912662.675,17227,locked,short,74.99,SL,75.215,-0.3,0.79,0.1334,0.4334
1783009886.813,20159,locked,short,80.45,SIGNAL,80.51,-0.0746,18.59,0.4475,0.5221
1783059315.259,21145,locked,short,81.07,SIGNAL,81.07,0.0,5.23,0.0493,0.0493
1783065673.764,21281,locked,short,81.17,SIGNAL,81.15,0.0246,8.86,0.1109,0.0862
1783089289.791,21977,locked,short,81.19,SL,81.4336,-0.3,5.74,0.0123,0.3123
1783091558.299,22071,locked,short,81.76,SIGNAL,81.28,0.5871,18.98,0.6972,0.1101
1782661386.023,10086,unlocked,short,71.8,SIGNAL,71.86,-0.0836,1.74,0.0,0.0836
1782666906.283,10274,unlocked,short,71.59,SIGNAL,71.33,0.3632,11.22,0.3771,0.014
1782673700.227,10419,unlocked,short,71.0,SIGNAL,71.0,0.0,1.83,0.0563,0.0563
1782690023.785,10990,unlocked,short,71.6,SIGNAL,71.57,0.0419,5.21,0.2374,0.1955
1782695291.594,11164,unlocked,short,71.45,SIGNAL,71.04,0.5738,21.83,0.7278,0.154
1782736686.043,12249,unlocked,short,73.74,SIGNAL,73.3,0.5967,3.98,0.7865,0.1899
1782740310.043,12404,unlocked,short,73.33,SIGNAL,73.0,0.45,5.12,0.5455,0.0955
1782745597.079,12584,unlocked,short,72.84,SL,73.0585,-0.3,1.88,0.0961,0.3961
1782748030.808,12640,unlocked,short,73.82,SL,74.0415,-0.3,2.68,0.0406,0.3406
1782826352.845,14642,unlocked,short,72.06,SL,72.2762,-0.3,0.04,0.0,0.3
1782828317.666,14775,unlocked,short,73.3,SIGNAL,73.26,0.0546,0.64,0.1774,0.1228
1782858688.586,15350,unlocked,short,73.27,SIGNAL,73.25,0.0273,0.87,0.0546,0.0273
1782870404.474,15959,unlocked,short,73.94,SIGNAL,74.02,-0.1082,1.53,0.0135,0.1217
1782901301.485,16932,unlocked,short,75.46,SIGNAL,74.85,0.8084,41.72,1.0999,0.2915
1782905674.128,17021,unlocked,short,74.82,SIGNAL,74.92,-0.1337,2.94,0.0,0.1337
1782912662.675,17227,unlocked,short,74.99,SIGNAL,74.99,0.0,0.19,0.08,0.08
1782949071.504,18223,unlocked,short,77.56,SIGNAL,77.3,0.3352,11.77,0.4513,0.116
1783009886.813,20159,unlocked,short,80.45,SIGNAL,80.19,0.3232,12.99,0.4475,0.1243
1783059315.259,21145,unlocked,short,81.07,SIGNAL,81.04,0.037,2.02,0.037,0.0
1783065673.764,21281,unlocked,short,81.17,SIGNAL,81.24,-0.0862,4.01,0.0123,0.0986
1783081351.057,21778,unlocked,short,81.28,SIGNAL,81.29,-0.0123,1.25,0.0615,0.0738
1783085359.388,21847,unlocked,short,81.56,SIGNAL,81.4,0.1962,7.99,0.2084,0.0123
1783089289.746,21975,unlocked,short,81.19,SIGNAL,81.33,-0.1724,3.24,0.0246,0.1971
1783091558.299,22071,unlocked,short,81.76,SIGNAL,81.22,0.6605,16.49,0.6972,0.0367
