ts,bucket_id,side,setup,legsA,legsB,outcome,joint
1782736560.269,12236,long,B,0001100,111,SL,DOWN-resolve
1782736924.751,12278,short,B,0001000,111,SL,WHIPSAW
1782737848.475,12310,short,B,0001000,111,SL,UP-resolve
1782737898.364,12311,short,B,0001000,111,SL,UP-resolve
1782738272.84,12326,long,B,0001100,111,TP,UP-resolve
1782738312.472,12327,long,B,0001100,111,TP,UP-resolve
1782738866.124,12347,long,B,0001100,111,SL,DOWN-resolve
1782738914.056,12348,long,B,0001100,111,SL,DOWN-resolve
1782738994.746,12349,long,B,0001100,111,SL,DOWN-resolve
1782738999.37,12350,long,B,0001100,111,SL,DOWN-resolve
1782739493.709,12366,short,B,0101100,111,TP,DOWN-resolve
1782739774.664,12373,short,B,0100100,111,TP,DOWN-resolve
1782739921.077,12386,short,B,0101001,111,TP,DOWN-resolve
1782739947.18,12388,long,B,0001000,111,SL,DOWN-resolve
1782740011.859,12390,long,B,0001000,111,SL,DOWN-resolve
1782740490.265,12415,short,B,0001100,111,TP,DOWN-resolve
1782741633.659,12475,long,B,0001100,111,TP,UP-resolve
1782742409.513,12507,short,B,0001100,111,SL,WHIPSAW
1782742561.574,12518,short,B,0001000,111,TP,DOWN-resolve
1782742567.987,12519,short,B,0001000,111,TP,DOWN-resolve
1782742582.843,12520,short,B,0001000,111,TP,DOWN-resolve
1782743849.297,12554,long,B,0001100,111,SL,DOWN-resolve
1782750664.8,12680,short,B,0001000,111,SL,UP-resolve
1782752063.032,12705,long,B,0001100,111,TP,UP-resolve
1782752174.474,12706,long,B,0001100,111,TP,UP-resolve
1782753257.275,12756,long,B,0000100,111,TP,UP-resolve
1782753333.337,12773,long,B,0000100,111,TP,UP-resolve
1782753356.341,12783,long,B,0001100,111,SL,DOWN-resolve
1782753789.152,12815,short,B,0100100,111,SL,UP-resolve
1782753837.624,12816,short,B,0100100,111,SL,UP-resolve
1782754228.85,12829,long,B,0001100,111,SL,DOWN-resolve
1782754454.897,12835,long,B,0001100,111,SL,DOWN-resolve
1782754511.554,12836,long,B,0001100,111,SL,DOWN-resolve
1782773522.053,13050,short,B,0001100,111,SL,UP-resolve
1782774053.486,13059,long,B,0000000,111,SL,DOWN-resolve
1782779596.299,13217,short,B,0001001,111,TP,DOWN-resolve
1782779638.263,13220,long,B,0001100,111,SL,DOWN-resolve
1782782806.524,13355,long,B,0101100,111,SL,DOWN-resolve
1782783917.217,13380,short,B,0001000,111,SL,WHIPSAW
1782785546.474,13406,short,B,0001000,111,SL,UP-resolve
1782785780.09,13411,short,B,0001000,111,SL,UP-resolve
1782788502.653,13457,long,B,0101100,111,SL,WHIPSAW
1782789651.708,13475,long,B,0001100,111,SL,DOWN-resolve
1782790920.419,13497,short,B,0000000,111,TP,DOWN-resolve
1782791933.366,13512,short,B,0001000,111,TP,DOWN-resolve
1782792316.059,13531,short,B,0000100,111,SL,WHIPSAW
1782792796.572,13563,short,B,0001001,111,TP,DOWN-resolve
1782792799.127,13564,short,B,0001001,111,TP,DOWN-resolve
1782793030.72,13576,long,B,0001101,111,TP,UP-resolve
1782793055.391,13577,long,B,0001101,111,TP,UP-resolve
1782793063.914,13578,long,B,0001001,111,TP,UP-resolve
1782793087.241,13579,long,B,0001001,111,TP,UP-resolve
1782793171.073,13587,short,B,0001100,111,SL,UP-resolve
1782798198.854,13688,long,B,0001100,111,SL,DOWN-resolve
1782798225.611,13689,long,B,0001100,111,SL,DOWN-resolve
1782801136.554,13743,long,B,0101100,111,SL,DOWN-resolve
1782801174.327,13744,long,B,0101100,111,SL,DOWN-resolve
1782807314.263,13860,short,B,0001100,111,TP,DOWN-resolve
1782807483.57,13866,short,B,0001100,111,TP,DOWN-resolve
1782808572.809,13890,short,B,0000100,111,TP,DOWN-resolve
1782808577.89,13903,short,B,0000100,111,SL,UP-resolve
1782809145.895,13980,short,B,0001000,111,SL,UP-resolve
1782809399.383,14010,long,B,0001100,111,TP,UP-resolve
1782809399.755,14012,long,B,0001100,111,TP,UP-resolve
1782809399.97,14013,long,B,0001100,111,TP,UP-resolve
1782809820.596,14037,long,B,0001100,111,SL,WHIPSAW
1782810033.996,14043,long,B,0001100,111,SL,WHIPSAW
1782810059.165,14044,long,B,0001100,111,SL,DOWN-resolve
1782810147.532,14047,long,B,0001100,111,SL,DOWN-resolve
1782811068.37,14080,long,B,0001000,111,SL,WHIPSAW
1782811145.737,14081,long,B,0001000,111,SL,DOWN-resolve
1782818704.044,14220,short,B,0001100,111,SL,WHIPSAW
1782820612.743,14273,long,B,0001001,111,SL,DOWN-resolve
1782820825.454,14279,short,B,0001000,111,TP,DOWN-resolve
1782820848.644,14280,short,B,0001000,111,TP,DOWN-resolve
1782822101.642,14367,short,B,0001100,111,TP,DOWN-resolve
1782822819.265,14429,short,B,0001000,111,TP,DOWN-resolve
1782822877.771,14436,short,B,0001100,111,TP,DOWN-resolve
1782824485.79,14532,long,B,0000000,111,SL,WHIPSAW
1782824640.67,14552,short,B,0001110,111,SL,UP-resolve
1782824913.89,14571,long,B,0101100,111,TP,UP-resolve
1782825080.381,14580,long,B,0001100,111,TP,UP-resolve
1782826251.941,14621,long,B,0001100,111,SL,DOWN-resolve
1782826361.131,14645,short,B,0100100,111,SL,WHIPSAW
