# SEL-k=4 full re-derivation (discovery-only fit). C@k = context over k-1 priors (registry-literal only at k=16). W-STAT excl = post-audit flag set. HOLDOUT numbers elsewhere are comparison material — 15 extra trials of selection bias; forward data is the only judge.
variant,direction,rank,feature_code,flag,weight,cumulative_weight,raw_strength,deduped_aliases
W-ALL,long,1,E51.01,,0.0395,0.0395,5.5503,
W-ALL,long,2,E01.01,clock,0.0374,0.0769,5.2602,
W-ALL,long,3,E02.01,clock,0.0374,0.1143,5.2602,
W-ALL,long,4,E50.01,,0.0332,0.1475,4.6658,
W-ALL,long,5,E52.01,,0.0330,0.1805,4.6378,
W-ALL,long,6,B-S.03,tempo,0.0275,0.2080,3.8626,
W-ALL,long,7,E03.01,,0.0274,0.2354,3.8527,
W-ALL,long,8,E42.01,,0.0264,0.2618,3.7180,
W-ALL,long,9,E05.01,,0.0264,0.2882,3.7098,
W-ALL,long,10,E20.01,,0.0219,0.3101,3.0770,
W-ALL,long,11,B-S.14,,0.0215,0.3316,3.0271,
W-ALL,long,12,E25.01,,0.0192,0.3508,2.6985,
W-ALL,long,13,C.02,,0.0191,0.3699,2.6797,
W-ALL,long,14,C.03,,0.0181,0.3880,2.5486,
W-ALL,long,15,E12.01,,0.0179,0.4059,2.5134,
W-ALL,long,16,B-S.07,,0.0173,0.4232,2.4260,
W-ALL,long,17,E08.01,,0.0172,0.4404,2.4197,
W-ALL,long,18,C.05,,0.0155,0.4559,2.1847,
W-ALL,long,19,B-P2.06,,0.0146,0.4705,2.0475,
W-ALL,long,20,B-S.10,suspect-regime,0.0139,0.4844,1.9602,
W-ALL,long,21,E28.01,,0.0133,0.4978,1.8728,
W-ALL,long,22,E43.01,,0.0126,0.5104,1.7756,
W-ALL,long,23,B-P2.02,,0.0125,0.5229,1.7563,
W-ALL,long,24,B-P4.01,,0.0124,0.5352,1.7371,
W-ALL,long,25,B-P4.05,,0.0124,0.5476,1.7371,
W-ALL,long,26,B-P2.01,,0.0122,0.5597,1.7085,
W-ALL,long,27,B-S.09,,0.0120,0.5718,1.6882,
W-ALL,long,28,B-P1.06,,0.0115,0.5833,1.6217,
W-ALL,long,29,B-P4.09,,0.0115,0.5948,1.6206,
W-ALL,long,30,B-S.06,,0.0115,0.6063,1.6113,
W-ALL,long,31,C.10,,0.0114,0.6177,1.6016,
W-ALL,long,32,B-P3.03,,0.0111,0.6288,1.5629,
W-ALL,long,33,B-P1.01,,0.0111,0.6399,1.5624,
W-ALL,long,34,B-P1.02,,0.0110,0.6509,1.5437,
W-ALL,long,35,B-P1.04,,0.0105,0.6614,1.4782,
W-ALL,long,36,B-P1.08,,0.0105,0.6719,1.4699,
W-ALL,long,37,B-P3.04,,0.0104,0.6823,1.4657,
W-ALL,long,38,B-P1.07,,0.0101,0.6924,1.4173,
W-ALL,long,39,E19.01,,0.0101,0.7024,1.4168,
W-ALL,long,40,B-P2.05,,0.0098,0.7122,1.3783,
W-ALL,long,41,E13.01,,0.0097,0.7219,1.3591,
