# S4-GEO stage 3 (1h), tick=0.01. EQ cells = first analysis of previously-excluded bars; RECUT cells = re-cuts of mined data. 1m spent throughout.
cell,class,full_n,full_pup,full_lift,disc_n,disc_pup,disc_base,disc_lift,disc_ci_lo,disc_ci_hi,disc_blocks,hold_n,hold_pup,hold_base,hold_lift,hold_ci_lo,hold_ci_hi,hold_blocks,survivor,holdout_pass
T1:O>C,RECUT,237,43.04,-4.45,167,42.51,46.71,-4.19,-9.12,0.91,9,70,44.29,49.64,-5.35,-7.38,-1.83,4,False,False
T1:O<C,RECUT,217,52.07,4.59,149,51.01,46.71,4.3,-1.19,9.54,9,67,55.22,49.64,5.59,2.5,6.72,4,False,False
T1:O=C,EQ,3,66.67,19.18,3,66.67,46.71,19.96,,,9,0,,49.64,,,,0,False,False
T1:O>M,RECUT,229,43.67,-3.82,169,43.2,46.71,-3.51,-7.17,-0.3,9,60,45.0,49.64,-4.64,-10.57,1.46,4,False,False
T1:O<M,RECUT,215,51.16,3.68,140,50.0,46.71,3.29,-1.42,7.6,9,74,54.05,49.64,4.42,0.64,6.06,4,False,False
T1:O=M,EQ,13,53.85,6.36,10,60.0,46.71,13.29,-10.84,27.87,9,3,33.33,49.64,-16.3,,,4,False,False
T1:O>P,RECUT,225,44.44,-3.04,169,44.97,46.71,-1.74,-6.97,3.52,9,56,42.86,49.64,-6.78,-13.19,-0.56,4,False,False
T1:O<P,RECUT,219,50.23,2.74,139,48.2,46.71,1.49,-6.2,7.94,9,79,54.43,49.64,4.8,0.38,7.79,4,False,False
T1:O=P,EQ,13,53.85,6.36,11,54.55,46.71,7.84,-22.74,28.13,9,2,50.0,49.64,0.36,,,4,False,False
T1:C>M,RECUT,220,50.91,3.43,155,50.97,46.71,4.26,-0.9,9.55,9,64,51.56,49.64,1.93,-2.34,6.25,4,False,False
T1:C<M,RECUT,225,43.56,-3.93,155,41.94,46.71,-4.77,-9.41,-0.73,9,70,47.14,49.64,-2.49,-4.92,1.07,4,False,False
T1:C=M,EQ,12,58.33,10.85,9,55.56,46.71,8.85,-18.34,30.77,9,3,66.67,49.64,17.03,,,4,False,False
T1:C>P,RECUT,220,48.18,0.7,161,47.83,46.71,1.12,-3.7,6.66,9,58,50.0,49.64,0.36,-6.74,8.54,4,False,False
T1:C<P,RECUT,223,46.19,-1.3,147,44.9,46.71,-1.81,-8.66,3.93,9,76,48.68,49.64,-0.95,-5.22,3.01,4,False,False
T1:C=P,EQ,14,57.14,9.66,11,54.55,46.71,7.84,-9.13,26.02,9,3,66.67,49.64,17.03,,,4,False,False
T1:M>P,RECUT,208,43.27,-4.21,153,43.79,46.71,-2.92,-6.93,1.15,9,54,42.59,49.64,-7.04,-13.49,1.06,4,False,False
T1:M<P,RECUT,213,49.77,2.28,140,46.43,46.71,-0.28,-5.95,5.26,9,73,56.16,49.64,6.53,-0.21,10.14,4,False,False
T1:M=P,EQ,36,58.33,10.85,26,65.38,46.71,18.68,0.22,35.33,9,10,40.0,49.64,-9.64,-22.24,16.67,4,True,False
T2:O=C=M,EQ,0,,,0,,46.71,,,,0,0,,49.64,,,,0,False,False
T2:O=C=P,EQ,1,100.0,52.52,1,100.0,46.71,53.29,,,9,0,,49.64,,,,0,False,False
