# S4-GEO stage 3 (1h), tick=0.01. EQ cells = first analysis of previously-excluded bars; RECUT cells = re-cuts of mined data. 1m spent throughout.
cell,class,full_n,full_pup,full_lift,disc_n,disc_pup,disc_base,disc_lift,disc_ci_lo,disc_ci_hi,disc_blocks,hold_n,hold_pup,hold_base,hold_lift,hold_ci_lo,hold_ci_hi,hold_blocks,survivor,holdout_pass
T2:O=M=P,EQ,2,100.0,52.52,2,100.0,46.71,53.29,,,9,0,,49.64,,,,0,False,False
T2:C=M=P,EQ,1,100.0,52.52,1,100.0,46.71,53.29,,,9,0,,49.64,,,,0,False,False
T2:O=C&M=P,EQ,0,,,0,,46.71,,,,0,0,,49.64,,,,0,False,False
T2:O=M&C=P,EQ,1,0.0,-47.48,1,0.0,46.71,-46.71,,,9,0,,49.64,,,,0,False,False
T2:O=P&C=M,EQ,0,,,0,,46.71,,,,0,0,,49.64,,,,0,False,False
T2:O=C=M=P,EQ,0,,,0,,46.71,,,,0,0,,49.64,,,,0,False,False
T3:O>=rest,RECUT,180,42.22,-5.26,137,41.61,46.71,-5.1,-11.7,0.97,9,43,44.19,49.64,-5.45,-12.55,2.5,4,False,False
T3:O<=rest,RECUT,167,52.69,5.21,113,50.44,46.71,3.73,-1.89,8.87,9,53,58.49,49.64,8.86,3.57,13.61,4,False,False
T3:C>=rest,RECUT,161,52.8,5.31,113,52.21,46.71,5.5,0.12,11.33,9,47,55.32,49.64,5.68,-0.8,8.82,4,True,True
T3:C<=rest,RECUT,168,44.05,-3.44,112,42.86,46.71,-3.85,-11.98,2.88,9,56,46.43,49.64,-3.21,-9.61,1.06,4,False,False
T3:M>=rest,RECUT,40,55.0,7.52,25,60.0,46.71,13.29,2.12,20.52,9,15,46.67,49.64,-2.97,-29.22,16.52,4,True,False
T3:M<=rest,RECUT,41,56.1,8.61,30,56.67,46.71,9.96,-3.35,20.69,9,11,54.55,49.64,4.91,-20.28,37.76,4,False,False
T3:P>=rest,RECUT,105,47.62,0.14,66,45.45,46.71,-1.25,-14.32,9.3,9,39,51.28,49.64,1.65,-8.91,11.26,4,False,False
T3:P<=rest,RECUT,106,46.23,-1.26,84,50.0,46.71,3.29,-5.05,10.47,9,22,31.82,49.64,-17.82,-24.79,-5.56,4,False,False
T4:C>MP>O,EQ,8,37.5,-9.98,5,40.0,46.71,-6.71,-19.15,3.98,9,3,33.33,49.64,-16.3,,,4,False,False
T4:C>O>MP,EQ,2,50.0,2.52,1,100.0,46.71,53.29,,,9,1,0.0,49.64,-49.64,,,4,False,False
T4:MP>C>O,EQ,3,66.67,19.18,2,100.0,46.71,53.29,,,9,1,0.0,49.64,-49.64,,,4,False,False
T4:MP>O>C,EQ,7,71.43,23.94,4,75.0,46.71,28.29,,,9,3,66.67,49.64,17.03,,,4,False,False
T4:O>MP>C,EQ,10,40.0,-7.48,8,37.5,46.71,-9.21,-32.68,18.24,9,2,50.0,49.64,0.36,,,4,False,False
T4:O>C>MP,EQ,3,100.0,52.52,3,100.0,46.71,53.29,,,9,0,,49.64,,,,0,False,False
