# SEL-k=11 full re-derivation (discovery-only fit). C@k = context over k-1 priors (registry-literal only at k=16). W-STAT excl = post-audit flag set. HOLDOUT numbers elsewhere are comparison material — 15 extra trials of selection bias; forward data is the only judge.
variant,direction,rank,feature_code,flag,weight,cumulative_weight,raw_strength,deduped_aliases
W-ALL,long,1,E51.01,,0.0333,0.0333,5.5503,
W-ALL,long,2,E01.01,clock,0.0316,0.0649,5.2602,
W-ALL,long,3,E02.01,clock,0.0316,0.0965,5.2602,
W-ALL,long,4,E50.01,,0.0280,0.1245,4.6658,
W-ALL,long,5,E52.01,,0.0278,0.1523,4.6378,
W-ALL,long,6,B-P1.06,,0.0234,0.1757,3.8927,
W-ALL,long,7,B-P1.03,,0.0232,0.1989,3.8611,
W-ALL,long,8,E03.01,,0.0231,0.2220,3.8527,
W-ALL,long,9,E42.01,,0.0223,0.2443,3.7180,
W-ALL,long,10,E05.01,,0.0223,0.2666,3.7098,
W-ALL,long,11,B-S.07,,0.0220,0.2886,3.6676,
W-ALL,long,12,C.06,,0.0218,0.3104,3.6302,
W-ALL,long,13,B-S.03,tempo,0.0214,0.3319,3.5719,
W-ALL,long,14,B-S.10,suspect-regime,0.0203,0.3522,3.3869,
W-ALL,long,15,B-P1.02,,0.0193,0.3715,3.2142,
W-ALL,long,16,B-P1.01,,0.0192,0.3907,3.2038,
W-ALL,long,17,E20.01,,0.0185,0.4092,3.0770,
W-ALL,long,18,B-P2.07,,0.0167,0.4259,2.7754,
W-ALL,long,19,E25.01,,0.0162,0.4421,2.6985,
W-ALL,long,20,C.05,,0.0162,0.4583,2.6985,
W-ALL,long,21,B-S.09,,0.0160,0.4743,2.6589,
W-ALL,long,22,E12.01,,0.0151,0.4893,2.5134,
W-ALL,long,23,C.10,,0.0147,0.5041,2.4556,
W-ALL,long,24,E08.01,,0.0145,0.5186,2.4197,
W-ALL,long,25,C.02,,0.0142,0.5328,2.3678,
W-ALL,long,26,B-S.14,,0.0142,0.5470,2.3574,
W-ALL,long,27,B-S.06,,0.0133,0.5603,2.2227,
W-ALL,long,28,B-P2.02,,0.0128,0.5731,2.1349,
W-ALL,long,29,B-P2.01,,0.0127,0.5858,2.1161,
W-ALL,long,30,C.11,,0.0126,0.5985,2.1001,
W-ALL,long,31,B-P1.10,,0.0120,0.6105,2.0055,
W-ALL,long,32,B-P2.04,,0.0113,0.6218,1.8805,
W-ALL,long,33,E28.01,,0.0112,0.6330,1.8728,
W-ALL,long,34,B-S.08,,0.0111,0.6441,1.8437,
W-ALL,long,35,E43.01,,0.0107,0.6548,1.7756,
W-ALL,long,36,B-P4.10,,0.0106,0.6654,1.7683,
W-ALL,long,37,B-P4.01,,0.0105,0.6759,1.7563,
W-ALL,long,38,B-P4.05,,0.0103,0.6862,1.7080,
W-ALL,long,39,B-P1.05,,0.0102,0.6964,1.7064,
W-ALL,long,40,B-P3.02,,0.0102,0.7066,1.6981,
W-ALL,long,41,B-P4.09,,0.0101,0.7167,1.6857,
W-ALL,long,42,B-P3.04,,0.0101,0.7268,1.6799,
W-ALL,long,43,B-P3.01,,0.0101,0.7369,1.6794,
W-ALL,long,44,B-P1.08,,0.0100,0.7469,1.6690,
W-ALL,long,45,C.07,,0.0095,0.7565,1.5867,
W-ALL,long,46,C.08,,0.0095,0.7660,1.5833,
W-ALL,long,47,B-P3.06,,0.0091,0.7751,1.5234,
W-ALL,long,48,B-P3.09,,0.0091,0.7842,1.5178,
W-ALL,long,49,B-P2.06,,0.0090,0.7932,1.4943,
W-ALL,long,50,E19.01,,0.0085,0.8017,1.4168,
W-ALL,long,51,C.03,,0.0083,0.8100,1.3887,
W-ALL,long,52,E13.01,,0.0082,0.8182,1.3591,
W-ALL,long,53,B-P2.08,,0.0080,0.8262,1.3295,
W-ALL,long,54,C.12,,0.0079,0.8341,1.3152,
W-ALL,long,55,E21.01,,0.0079,0.8419,1.3088,
W-ALL,long,56,E06.01,,0.0077,0.8496,1.2795,
W-ALL,long,57,B-S.05,,0.0075,0.8571,1.2525,
W-ALL,long,58,B-P2.05,,0.0074,0.8645,1.2328,
W-ALL,long,59,B-P3.07,,0.0070,0.8716,1.1694,
W-ALL,long,60,B-P1.07,,0.0068,0.8784,1.1360,
W-ALL,long,61,E16.01,,0.0068,0.8851,1.1257,
W-ALL,long,62,E18.01,,0.0062,0.8913,1.0284,
W-ALL,long,63,C.09,,0.0061,0.8974,1.0097,
W-ALL,long,64,E17.01,,0.0060,0.9034,0.9998,
W-ALL,long,65,E23.01,,0.0059,0.9093,0.9801,
W-ALL,long,66,G06.1,,0.0058,0.9151,0.9707,
W-ALL,long,67,B-P3.10,,0.0057,0.9208,0.9515,
W-ALL,long,68,G04.1,,0.0055,0.9263,0.9118,
W-ALL,long,69,B-P3.05,,0.0054,0.9316,0.8932,
W-ALL,long,70,E24.01,,0.0054,0.9370,0.8927,
W-ALL,long,71,E10.01,,0.0052,0.9422,0.8698,
W-ALL,long,72,G03.1,,0.0050,0.9472,0.8350,
W-ALL,long,73,E14.01,,0.0049,0.9522,0.8200,
W-ALL,long,74,B-P3.03,,0.0049,0.9570,0.8147,
W-ALL,long,75,B-P2.09,,0.0048,0.9618,0.7970,
W-ALL,long,76,E07.01,,0.0047,0.9665,0.7799,
W-ALL,long,77,B-P1.04,,0.0044,0.9709,0.7305,
W-ALL,long,78,B-P2.11,,0.0039,0.9748,0.6479,
W-ALL,long,79,C.01,,0.0035,0.9783,0.5837,
W-ALL,long,80,B-P2.10,,0.0035,0.9818,0.5815,
W-ALL,long,81,B-P2.03,,0.0034,0.9852,0.5730,
W-ALL,long,82,E22.01,,0.0034,0.9887,0.5724,
W-ALL,long,83,E15.01,,0.0034,0.9920,0.5631,
W-ALL,long,84,B-P4.02,,0.0025,0.9945,0.4161,
W-ALL,long,85,B-P1.09,,0.0019,0.9965,0.3195,
W-ALL,long,86,B-P3.08,,0.0017,0.9982,0.2889,
W-ALL,long,87,B-P1.11,,0.0017,0.9999,0.2780,
W-ALL,long,88,C.04,,0.0001,1.0000,0.0228,
W-ALL,short,1,E51.01,,0.0427,0.0427,6.3478,
W-ALL,short,2,B-S.10,suspect-regime,0.0333,0.0760,4.9411,
W-ALL,short,3,E01.01,clock,0.0294,0.1054,4.3631,
W-ALL,short,4,E02.01,clock,0.0294,0.1348,4.3631,
W-ALL,short,5,C.08,,0.0263,0.1611,3.9017,
W-ALL,short,6,B-S.03,tempo,0.0244,0.1854,3.6191,
W-ALL,short,7,E03.01,,0.0239,0.2093,3.5435,
W-ALL,short,8,E20.01,,0.0236,0.2329,3.5027,
W-ALL,short,9,E50.01,,0.0219,0.2548,3.2567,
W-ALL,short,10,C.05,,0.0210,0.2758,3.1242,
W-ALL,short,11,B-S.09,,0.0199,0.2958,2.9611,
W-ALL,short,12,B-S.07,,0.0194,0.3152,2.8855,
W-ALL,short,13,B-P1.06,,0.0186,0.3338,2.7587,
W-ALL,short,14,E52.01,,0.0185,0.3523,2.7483,
W-ALL,short,15,E12.01,,0.0163,0.3686,2.4210,
W-ALL,short,16,E05.01,,0.0160,0.3846,2.3752,
W-ALL,short,17,E42.01,,0.0158,0.4004,2.3516,
W-ALL,short,18,B-S.08,,0.0156,0.4160,2.3206,
W-ALL,short,19,C.02,,0.0153,0.4314,2.2754,
W-ALL,short,20,B-P4.01,,0.0150,0.4464,2.2332,
W-ALL,short,21,B-S.14,,0.0149,0.4613,2.2055,
W-ALL,short,22,E25.01,,0.0146,0.4758,2.1633,
W-ALL,short,23,B-P1.03,,0.0141,0.4900,2.0993,
W-ALL,short,24,B-P2.02,,0.0141,0.5040,2.0877,
W-ALL,short,25,B-P3.07,,0.0140,0.5180,2.0811,
W-ALL,short,26,B-P2.01,,0.0140,0.5320,2.0760,
W-ALL,short,27,B-P4.05,,0.0139,0.5459,2.0585,
W-ALL,short,28,B-P2.05,,0.0138,0.5596,2.0425,
W-ALL,short,29,E08.01,,0.0133,0.5729,1.9733,
W-ALL,short,30,C.03,,0.0133,0.5862,1.9726,
W-ALL,short,31,B-S.06,,0.0131,0.5993,1.9421,
W-ALL,short,32,C.06,,0.0130,0.6123,1.9304,
W-ALL,short,33,B-P1.05,,0.0128,0.6251,1.9012,
W-ALL,short,34,B-P3.06,,0.0125,0.6376,1.8547,
W-ALL,short,35,B-P2.06,,0.0121,0.6497,1.7965,
W-ALL,short,36,B-P2.07,,0.0119,0.6616,1.7674,
W-ALL,short,37,B-P4.09,,0.0118,0.6734,1.7558,
W-ALL,short,38,E19.01,,0.0117,0.6851,1.7383,
W-ALL,short,39,E28.01,,0.0115,0.6966,1.7091,
W-ALL,short,40,E43.01,,0.0115,0.7081,1.7091,
W-ALL,short,41,E06.01,,0.0113,0.7194,1.6794,
W-ALL,short,42,B-P2.08,,0.0108,0.7303,1.6101,
W-ALL,short,43,E18.01,,0.0101,0.7404,1.5053,
W-ALL,short,44,B-P1.02,,0.0101,0.7505,1.5038,
W-ALL,short,45,C.10,,0.0100,0.7606,1.4893,
W-ALL,short,46,B-P1.01,,0.0100,0.7705,1.4806,
W-ALL,short,47,B-P3.02,,0.0097,0.7803,1.4471,
W-ALL,short,48,B-P3.01,,0.0097,0.7899,1.4354,
W-ALL,short,49,G03.1,,0.0095,0.7994,1.4063,
W-ALL,short,50,B-P3.04,,0.0094,0.8088,1.3907,
W-ALL,short,51,B-P1.10,,0.0094,0.8181,1.3896,
W-ALL,short,52,C.12,,0.0091,0.8273,1.3556,
W-ALL,short,53,B-P4.02,,0.0086,0.8358,1.2731,
W-ALL,short,54,E22.01,,0.0082,0.8440,1.2142,
W-ALL,short,55,E21.01,,0.0081,0.8521,1.2058,
W-ALL,short,56,E16.01,,0.0080,0.8601,1.1894,
W-ALL,short,57,B-P2.04,,0.0079,0.8681,1.1777,
W-ALL,short,58,G06.1,,0.0077,0.8758,1.1472,
W-ALL,short,59,B-S.05,,0.0073,0.8831,1.0860,
W-ALL,short,60,B-P4.10,,0.0071,0.8902,1.0569,
W-ALL,short,61,C.11,,0.0066,0.8968,0.9827,
W-ALL,short,62,E24.01,,0.0064,0.9032,0.9521,
W-ALL,short,63,B-P2.11,,0.0063,0.9096,0.9385,
W-ALL,short,64,E17.01,,0.0062,0.9158,0.9274,
W-ALL,short,65,B-P1.08,,0.0058,0.9216,0.8648,
W-ALL,short,66,B-P3.05,,0.0057,0.9273,0.8487,
W-ALL,short,67,E13.01,,0.0057,0.9330,0.8400,
W-ALL,short,68,C.07,,0.0056,0.9386,0.8313,
W-ALL,short,69,C.01,,0.0054,0.9440,0.8081,
W-ALL,short,70,B-P3.10,,0.0054,0.9494,0.7949,
W-ALL,short,71,B-P3.03,,0.0052,0.9546,0.7774,
W-ALL,short,72,C.09,,0.0051,0.9598,0.7614,
W-ALL,short,73,E15.01,,0.0050,0.9647,0.7366,
W-ALL,short,74,E14.01,,0.0048,0.9696,0.7180,
W-ALL,short,75,E07.01,,0.0039,0.9734,0.5783,
W-ALL,short,76,B-P2.03,,0.0039,0.9773,0.5736,
W-ALL,short,77,B-P1.07,,0.0037,0.9810,0.5445,
W-ALL,short,78,E10.01,,0.0030,0.9840,0.4422,
W-ALL,short,79,B-P3.09,,0.0025,0.9865,0.3767,
W-ALL,short,80,B-P2.09,,0.0024,0.9889,0.3592,
W-ALL,short,81,E23.01,,0.0023,0.9912,0.3450,
W-ALL,short,82,C.04,,0.0022,0.9934,0.3201,
W-ALL,short,83,G04.1,,0.0021,0.9955,0.3116,
W-ALL,short,84,B-P1.09,,0.0021,0.9975,0.3063,
W-ALL,short,85,B-P3.08,,0.0010,0.9986,0.1497,
W-ALL,short,86,B-P2.10,,0.0009,0.9995,0.1358,
W-ALL,short,87,B-P1.11,,0.0005,1.0000,0.0750,
W-ALL,short,88,B-P1.04,,0.0000,1.0000,0.0033,
W-STAT,long,1,E51.01,,0.0372,0.0372,5.5503,
W-STAT,long,2,E50.01,,0.0313,0.0685,4.6658,
W-STAT,long,3,E52.01,,0.0311,0.0996,4.6378,
W-STAT,long,4,B-P1.06,,0.0261,0.1257,3.8927,
W-STAT,long,5,B-P1.03,,0.0259,0.1516,3.8611,
W-STAT,long,6,E03.01,,0.0258,0.1775,3.8527,
W-STAT,long,7,E42.01,,0.0249,0.2024,3.7180,
W-STAT,long,8,E05.01,,0.0249,0.2273,3.7098,
W-STAT,long,9,B-S.07,,0.0246,0.2519,3.6676,
W-STAT,long,10,C.06,,0.0244,0.2763,3.6302,
W-STAT,long,11,B-P1.02,,0.0216,0.2978,3.2142,
W-STAT,long,12,B-P1.01,,0.0215,0.3193,3.2038,
W-STAT,long,13,E20.01,,0.0206,0.3400,3.0770,
W-STAT,long,14,B-P2.07,,0.0186,0.3586,2.7754,
W-STAT,long,15,E25.01,,0.0181,0.3767,2.6985,
W-STAT,long,16,C.05,,0.0181,0.3948,2.6985,
W-STAT,long,17,B-S.09,,0.0178,0.4126,2.6589,
W-STAT,long,18,E12.01,,0.0169,0.4295,2.5134,
W-STAT,long,19,C.10,,0.0165,0.4459,2.4556,
W-STAT,long,20,E08.01,,0.0162,0.4622,2.4197,
W-STAT,long,21,C.02,,0.0159,0.4781,2.3678,
W-STAT,long,22,B-S.14,,0.0158,0.4939,2.3574,
