# S4-GEO stage 2 (15m). FRESH data exam: holdout PASS means PASS. Outcome = next-bar direction (information measure, no fees).
tf,cell,disc_n,disc_pup,disc_base,disc_lift,disc_ci_lo,disc_ci_hi,disc_blocks,hold_n,hold_pup,hold_base,hold_lift,hold_ci_lo,hold_ci_hi,hold_blocks,survivor,holdout_pass
15m,L1:high_O,458,44.98,47.31,-2.33,-5.92,1.39,9,188,46.81,50.81,-4.01,-6.33,-1.7,4,False,False
15m,L1:low_O,407,48.16,47.31,0.85,-2.87,3.59,9,193,51.3,50.81,0.48,-4.94,5.5,4,False,False
15m,L1:high_C,427,48.95,47.31,1.64,-0.73,3.86,9,188,53.72,50.81,2.91,-0.09,5.33,4,False,False
15m,L1:low_C,463,41.68,47.31,-5.63,-7.6,-3.79,9,185,45.95,50.81,-4.87,-8.94,-1.89,4,True,True
15m,L1:high_M,63,44.44,47.31,-2.87,-13.42,5.06,9,37,43.24,50.81,-7.57,-15.07,-1.57,4,False,False
15m,L1:low_M,62,53.23,47.31,5.92,-2.71,16.02,9,34,64.71,50.81,13.89,10.23,19.61,4,False,False
15m,L1:high_P,206,47.09,47.31,-0.22,-5.72,5.56,9,105,57.14,50.81,6.33,4.22,8.02,4,False,False
15m,L1:low_P,205,49.27,47.31,1.96,-2.71,8.64,9,87,45.98,50.81,-4.84,-13.31,5.97,4,False,False
15m,L2:O>C,283,39.22,47.31,-8.09,-11.58,-4.67,9,107,41.12,50.81,-9.69,-15.04,-4.05,4,True,True
15m,L2:O>M,27,62.96,47.31,15.65,-3.26,42.41,9,12,58.33,50.81,7.52,1.59,13.28,4,False,False
15m,L2:O>P,101,50.5,47.31,3.18,-3.29,9.63,9,42,47.62,50.81,-3.19,-14.3,10.31,4,False,False
15m,L2:C>O,260,46.92,47.31,-0.39,-5.85,4.47,9,108,51.85,50.81,1.04,-0.46,1.53,4,False,False
15m,L2:C>M,24,41.67,47.31,-5.64,-20.54,9.91,9,17,58.82,50.81,8.01,-12.1,29.93,4,False,False
15m,L2:C>P,91,50.55,47.31,3.24,-5.35,12.54,9,40,47.5,50.81,-3.31,-9.88,4.96,4,False,False
15m,L2:M>O,21,61.9,47.31,14.59,-10.88,27.59,9,13,38.46,50.81,-12.35,-28.1,2.02,4,False,False
15m,L2:M>C,24,33.33,47.31,-13.98,-28.8,5.42,9,19,52.63,50.81,1.82,-4.67,9.08,4,False,False
15m,L2:M>P,7,28.57,47.31,-18.74,-47.96,14.4,9,5,20.0,50.81,-30.81,-47.06,-15.05,4,False,False
15m,L2:P>O,84,47.62,47.31,0.31,-9.54,8.73,9,54,59.26,50.81,8.45,0.0,16.84,4,False,False
15m,L2:P>C,111,46.85,47.31,-0.46,-8.05,7.1,9,46,52.17,50.81,1.36,-4.16,6.42,4,False,False
15m,L2:P>M,6,50.0,47.31,2.69,-26.18,36.34,9,4,100.0,50.81,49.19,,,4,False,False
15m,L3:O>C>M>P,51,60.78,47.31,13.47,0.2,27.1,9,19,57.89,50.81,7.08,-9.64,31.24,4,False,False
15m,L3:O>C>P>M,16,62.5,47.31,15.19,-9.6,39.84,9,7,57.14,50.81,6.33,-14.11,19.23,4,False,False
15m,L3:O>M>C>P,34,38.24,47.31,-9.07,-20.06,2.2,9,15,40.0,50.81,-10.81,-28.88,26.04,4,False,False
15m,L3:O>M>P>C,121,41.32,47.31,-5.99,-13.86,1.31,9,43,46.51,50.81,-4.3,-11.62,5.23,4,False,False
15m,L3:O>P>C>M,5,40.0,47.31,-7.31,-28.63,14.33,9,3,66.67,50.81,15.85,,,4,False,False
15m,L3:O>P>M>C,106,33.96,47.31,-13.35,-20.3,-6.72,9,36,38.89,50.81,-11.92,-24.72,-0.28,4,True,True
