# SEL-k=10 full re-derivation (discovery-only fit). C@k = context over k-1 priors (registry-literal only at k=16). W-STAT excl = post-audit flag set. HOLDOUT numbers elsewhere are comparison material — 15 extra trials of selection bias; forward data is the only judge.
variant,direction,rank,feature_code,flag,weight,cumulative_weight,raw_strength,deduped_aliases
W-ALL,long,1,E51.01,,0.0343,0.0343,5.5503,
W-ALL,long,2,E01.01,clock,0.0325,0.0667,5.2602,
W-ALL,long,3,E02.01,clock,0.0325,0.0992,5.2602,
W-ALL,long,4,E50.01,,0.0288,0.1280,4.6658,
W-ALL,long,5,E52.01,,0.0286,0.1566,4.6378,
W-ALL,long,6,B-P1.03,,0.0238,0.1805,3.8611,
W-ALL,long,7,E03.01,,0.0238,0.2042,3.8527,
W-ALL,long,8,E42.01,,0.0230,0.2272,3.7180,
W-ALL,long,9,E05.01,,0.0229,0.2501,3.7098,
W-ALL,long,10,B-S.03,tempo,0.0217,0.2718,3.5137,
W-ALL,long,11,B-P1.06,,0.0205,0.2923,3.3291,
W-ALL,long,12,C.06,,0.0204,0.3128,3.3099,
W-ALL,long,13,B-P1.02,,0.0198,0.3326,3.2142,
W-ALL,long,14,B-P1.01,,0.0197,0.3523,3.1934,
W-ALL,long,15,E20.01,,0.0190,0.3713,3.0770,
W-ALL,long,16,B-S.09,,0.0186,0.3899,3.0083,
W-ALL,long,17,B-S.10,suspect-regime,0.0184,0.4082,2.9751,
W-ALL,long,18,B-P2.07,,0.0177,0.4259,2.8628,
W-ALL,long,19,B-S.07,,0.0171,0.4430,2.7754,
W-ALL,long,20,B-P4.09,,0.0169,0.4600,2.7458,
W-ALL,long,21,E25.01,,0.0167,0.4766,2.6985,
W-ALL,long,22,C.05,,0.0165,0.4932,2.6797,
W-ALL,long,23,C.10,,0.0157,0.5089,2.5430,
W-ALL,long,24,E12.01,,0.0155,0.5244,2.5134,
W-ALL,long,25,E08.01,,0.0149,0.5393,2.4197,
W-ALL,long,26,C.02,,0.0148,0.5541,2.3969,
W-ALL,long,27,B-S.06,,0.0137,0.5679,2.2227,
W-ALL,long,28,B-P2.02,,0.0132,0.5810,2.1349,
W-ALL,long,29,B-P2.01,,0.0131,0.5941,2.1161,
W-ALL,long,30,C.11,,0.0117,0.6058,1.9016,
W-ALL,long,31,B-P2.04,,0.0116,0.6174,1.8805,
W-ALL,long,32,E28.01,,0.0116,0.6290,1.8728,
W-ALL,long,33,B-S.14,,0.0116,0.6406,1.8728,
W-ALL,long,34,E43.01,,0.0110,0.6515,1.7756,
W-ALL,long,35,C.08,,0.0109,0.6624,1.7704,
W-ALL,long,36,B-P4.01,,0.0108,0.6733,1.7563,
W-ALL,long,37,B-S.08,,0.0107,0.6840,1.7277,
W-ALL,long,38,B-P1.10,,0.0106,0.6946,1.7231,
W-ALL,long,39,B-P4.05,,0.0105,0.7051,1.7080,
W-ALL,long,40,B-P3.02,,0.0105,0.7156,1.6981,
W-ALL,long,41,B-P3.04,,0.0104,0.7260,1.6799,
W-ALL,long,42,B-P3.01,,0.0104,0.7364,1.6794,
W-ALL,long,43,B-P2.05,,0.0104,0.7467,1.6794,
W-ALL,long,44,B-P4.10,,0.0101,0.7569,1.6442,
W-ALL,long,45,B-P2.08,,0.0100,0.7669,1.6198,
W-ALL,long,46,B-P1.08,,0.0094,0.7763,1.5234,
W-ALL,long,47,C.03,,0.0092,0.7855,1.4943,
W-ALL,long,48,B-P3.06,,0.0091,0.7946,1.4751,
W-ALL,long,49,E19.01,,0.0087,0.8033,1.4168,
W-ALL,long,50,E13.01,,0.0084,0.8117,1.3591,
W-ALL,long,51,B-P2.06,,0.0084,0.8201,1.3576,
W-ALL,long,52,B-P3.09,,0.0083,0.8284,1.3437,
W-ALL,long,53,E21.01,,0.0081,0.8365,1.3088,
W-ALL,long,54,E06.01,,0.0079,0.8444,1.2795,
W-ALL,long,55,B-P1.07,,0.0070,0.8513,1.1262,
W-ALL,long,56,E16.01,,0.0069,0.8583,1.1257,
W-ALL,long,57,C.12,,0.0068,0.8651,1.1039,
W-ALL,long,58,C.09,,0.0065,0.8716,1.0487,
W-ALL,long,59,E18.01,,0.0063,0.8779,1.0284,
W-ALL,long,60,E17.01,,0.0062,0.8841,0.9998,
W-ALL,long,61,E23.01,,0.0060,0.8901,0.9801,
W-ALL,long,62,G06.1,,0.0060,0.8961,0.9707,
W-ALL,long,63,B-P3.10,,0.0059,0.9020,0.9515,
W-ALL,long,64,G04.1,,0.0056,0.9076,0.9118,
W-ALL,long,65,B-S.05,,0.0056,0.9132,0.9031,
W-ALL,long,66,E24.01,,0.0055,0.9187,0.8927,
W-ALL,long,67,E10.01,,0.0054,0.9241,0.8698,
W-ALL,long,68,B-P3.07,,0.0052,0.9293,0.8482,
W-ALL,long,69,G03.1,,0.0052,0.9345,0.8350,
W-ALL,long,70,E14.01,,0.0051,0.9395,0.8200,
W-ALL,long,71,B-P3.03,,0.0050,0.9446,0.8147,
W-ALL,long,72,C.01,,0.0049,0.9495,0.7942,
W-ALL,long,73,E07.01,,0.0048,0.9543,0.7799,
W-ALL,long,74,B-P1.04,,0.0045,0.9588,0.7305,
W-ALL,long,75,B-P1.09,,0.0044,0.9632,0.7108,
W-ALL,long,76,B-P2.09,,0.0043,0.9674,0.6916,
W-ALL,long,77,B-P1.05,,0.0042,0.9716,0.6796,
W-ALL,long,78,B-P2.11,,0.0040,0.9756,0.6479,
W-ALL,long,79,B-P2.03,,0.0036,0.9792,0.5834,
W-ALL,long,80,E22.01,,0.0035,0.9828,0.5724,
W-ALL,long,81,E15.01,,0.0035,0.9863,0.5631,
W-ALL,long,82,B-P3.05,,0.0029,0.9891,0.4664,
W-ALL,long,83,B-P2.10,,0.0027,0.9918,0.4351,
W-ALL,long,84,B-P4.02,,0.0026,0.9944,0.4153,
W-ALL,long,85,B-P1.11,,0.0017,0.9961,0.2780,
W-ALL,long,86,C.07,,0.0016,0.9977,0.2617,
W-ALL,long,87,B-P3.08,,0.0012,0.9989,0.1940,
