# S4-GEO stage 2 (4h). FRESH data exam: holdout PASS means PASS. Outcome = next-bar direction (information measure, no fees).
tf,cell,disc_n,disc_pup,disc_base,disc_lift,disc_ci_lo,disc_ci_hi,disc_blocks,hold_n,hold_pup,hold_base,hold_lift,hold_ci_lo,hold_ci_hi,hold_blocks,survivor,holdout_pass
4h,L1:high_O,35,37.14,41.03,-3.88,-16.17,7.96,9,11,45.45,60.61,-15.15,-23.53,2.86,4,False,False
4h,L1:low_O,21,42.86,41.03,1.83,-11.66,16.1,9,15,66.67,60.61,6.06,-3.0,9.76,4,False,False
4h,L1:high_C,23,30.43,41.03,-10.59,-26.02,4.12,9,13,61.54,60.61,0.93,-7.84,7.26,4,False,False
4h,L1:low_C,27,48.15,41.03,7.12,-2.63,16.02,9,8,62.5,60.61,1.89,-12.96,17.5,4,False,False
4h,L1:high_M,4,25.0,41.03,-16.03,,,9,1,100.0,60.61,39.39,,,4,False,False
4h,L1:low_M,6,66.67,41.03,25.64,-2.61,52.54,9,3,33.33,60.61,-27.27,,,4,False,False
4h,L1:high_P,14,64.29,41.03,23.26,6.56,35.46,9,8,75.0,60.61,14.39,2.08,24.83,4,False,False
4h,L1:low_P,21,23.81,41.03,-17.22,-29.37,-6.32,9,7,57.14,60.61,-3.46,-18.35,8.47,4,False,False
4h,L2:O>C,16,43.75,41.03,2.72,-15.76,17.2,9,5,40.0,60.61,-20.61,-22.96,10.0,4,False,False
4h,L2:O>M,4,100.0,41.03,58.97,,,9,2,50.0,60.61,-10.61,,,4,False,False
4h,L2:O>P,14,14.29,41.03,-26.74,-38.12,-4.94,9,4,50.0,60.61,-10.61,,,4,False,False
4h,L2:C>O,13,30.77,41.03,-10.26,-30.15,10.88,9,9,66.67,60.61,6.06,-1.25,9.35,4,False,False
4h,L2:C>M,2,0.0,41.03,-41.03,,,9,1,0.0,60.61,-60.61,,,4,False,False
4h,L2:C>P,6,33.33,41.03,-7.69,-34.45,18.33,9,3,66.67,60.61,6.06,,,4,False,False
4h,L2:M>O,1,0.0,41.03,-41.03,,,9,1,100.0,60.61,39.39,,,4,False,False
4h,L2:M>C,2,0.0,41.03,-41.03,,,9,0,,60.61,,,,0,False,False
4h,L2:M>P,1,100.0,41.03,58.97,,,9,0,,60.61,,,,0,False,False
4h,L2:P>O,5,60.0,41.03,18.97,-9.57,40.53,9,5,60.0,60.61,-0.61,-20.0,17.04,4,False,False
4h,L2:P>C,9,66.67,41.03,25.64,8.43,42.84,9,3,100.0,60.61,39.39,,,4,False,False
4h,L2:P>M,0,,41.03,,,,0,0,,60.61,,,,0,False,False
4h,L3:O>C>M>P,10,10.0,41.03,-31.03,-44.57,-10.52,9,3,33.33,60.61,-27.27,,,4,False,False
4h,L3:O>C>P>M,2,100.0,41.03,58.97,,,9,1,0.0,60.61,-60.61,,,4,False,False
4h,L3:O>M>C>P,2,0.0,41.03,-41.03,,,9,1,100.0,60.61,39.39,,,4,False,False
4h,L3:O>M>P>C,5,60.0,41.03,18.97,-12.4,55.41,9,4,50.0,60.61,-10.61,,,4,False,False
4h,L3:O>P>C>M,1,100.0,41.03,58.97,,,9,1,100.0,60.61,39.39,,,4,False,False
4h,L3:O>P>M>C,10,40.0,41.03,-1.03,-14.59,10.66,9,1,0.0,60.61,-60.61,,,4,False,False
4h,L3:C>O>M>P,3,66.67,41.03,25.64,,,9,1,100.0,60.61,39.39,,,4,False,False
4h,L3:C>O>P>M,2,0.0,41.03,-41.03,,,9,0,,60.61,,,,0,False,False
4h,L3:C>M>O>P,3,0.0,41.03,-41.03,,,9,2,50.0,60.61,-10.61,,,4,False,False
4h,L3:C>M>P>O,8,50.0,41.03,8.97,-18.47,31.28,9,6,66.67,60.61,6.06,-8.24,22.92,4,False,False
4h,L3:C>P>O>M,0,,41.03,,,,0,1,0.0,60.61,-60.61,,,4,False,False
4h,L3:C>P>M>O,4,0.0,41.03,-41.03,,,9,3,66.67,60.61,6.06,,,4,False,False
4h,L3:M>O>C>P,0,,41.03,,,,0,0,,60.61,,,,0,False,False
4h,L3:M>O>P>C,1,0.0,41.03,-41.03,,,9,0,,60.61,,,,0,False,False
4h,L3:M>C>O>P,0,,41.03,,,,0,0,,60.61,,,,0,False,False
4h,L3:M>C>P>O,1,0.0,41.03,-41.03,,,9,0,,60.61,,,,0,False,False
4h,L3:M>P>O>C,1,0.0,41.03,-41.03,,,9,0,,60.61,,,,0,False,False
4h,L3:M>P>C>O,0,,41.03,,,,0,1,100.0,60.61,39.39,,,4,False,False
4h,L3:P>O>C>M,0,,41.03,,,,0,0,,60.61,,,,0,False,False
4h,L3:P>O>M>C,3,66.67,41.03,25.64,,,9,1,100.0,60.61,39.39,,,4,False,False
4h,L3:P>C>O>M,0,,41.03,,,,0,0,,60.61,,,,0,False,False
4h,L3:P>C>M>O,1,0.0,41.03,-41.03,,,9,2,50.0,60.61,-10.61,,,4,False,False
4h,L3:P>M>O>C,5,80.0,41.03,38.97,13.43,57.97,9,2,100.0,60.61,39.39,,,4,False,False
4h,L3:P>M>C>O,4,75.0,41.03,33.97,,,9,3,66.67,60.61,6.06,,,4,False,False
4h,L4:O>C,46,41.3,41.03,0.28,-7.77,9.59,9,14,57.14,60.61,-3.46,-13.2,7.86,4,False,False
4h,L4:O>M,44,40.91,41.03,-0.12,-11.1,10.11,9,14,50.0,60.61,-10.61,-20.83,4.37,4,False,False
4h,L4:O>P,46,36.96,41.03,-4.07,-14.15,2.96,9,14,50.0,60.61,-10.61,-16.67,0.0,4,False,False
4h,L4:C>M,38,31.58,41.03,-9.45,-18.07,-0.4,9,20,55.0,60.61,-5.61,-15.17,1.87,4,False,False
4h,L4:C>P,41,29.27,41.03,-11.76,-22.02,-1.69,9,18,55.56,60.61,-5.05,-7.84,-2.96,4,False,False
4h,L4:M>P,39,30.77,41.03,-10.26,-20.43,-2.46,9,18,61.11,60.61,0.51,-10.89,7.02,4,False,False
