# SEL-k=12 full re-derivation (discovery-only fit). C@k = context over k-1 priors (registry-literal only at k=16). W-STAT excl = post-audit flag set. HOLDOUT numbers elsewhere are comparison material — 15 extra trials of selection bias; forward data is the only judge.
variant,direction,rank,feature_code,flag,weight,cumulative_weight,raw_strength,deduped_aliases
W-ALL,long,1,E51.01,,0.0332,0.0332,5.5503,
W-ALL,long,2,E01.01,clock,0.0315,0.0646,5.2602,
W-ALL,long,3,E02.01,clock,0.0315,0.0961,5.2602,
W-ALL,long,4,E50.01,,0.0279,0.1240,4.6658,
W-ALL,long,5,E52.01,,0.0277,0.1517,4.6378,
W-ALL,long,6,E03.01,,0.0230,0.1748,3.8527,
W-ALL,long,7,B-P1.03,,0.0230,0.1978,3.8423,
W-ALL,long,8,E42.01,,0.0222,0.2200,3.7180,
W-ALL,long,9,E05.01,,0.0222,0.2422,3.7098,
W-ALL,long,10,B-S.07,,0.0219,0.2641,3.6676,
W-ALL,long,11,B-P1.06,,0.0211,0.2852,3.5246,
W-ALL,long,12,B-S.03,tempo,0.0210,0.3062,3.5137,
W-ALL,long,13,C.06,,0.0207,0.3269,3.4555,
W-ALL,long,14,B-P1.02,,0.0192,0.3461,3.2142,
W-ALL,long,15,B-P1.01,,0.0192,0.3652,3.2038,
W-ALL,long,16,B-S.10,suspect-regime,0.0189,0.3841,3.1539,
W-ALL,long,17,E20.01,,0.0184,0.4025,3.0770,
W-ALL,long,18,C.05,,0.0181,0.4206,3.0187,
W-ALL,long,19,B-P2.07,,0.0169,0.4375,2.8336,
W-ALL,long,20,E25.01,,0.0161,0.4536,2.6985,
W-ALL,long,21,B-P1.10,,0.0159,0.4695,2.6545,
W-ALL,long,22,E12.01,,0.0150,0.4845,2.5134,
W-ALL,long,23,C.10,,0.0145,0.4991,2.4265,
W-ALL,long,24,E08.01,,0.0145,0.5135,2.4197,
W-ALL,long,25,B-S.09,,0.0143,0.5278,2.3845,
W-ALL,long,26,B-S.14,,0.0135,0.5413,2.2513,
W-ALL,long,27,C.11,,0.0131,0.5544,2.1987,
W-ALL,long,28,B-S.08,,0.0131,0.5675,2.1931,
W-ALL,long,29,B-P2.02,,0.0128,0.5803,2.1349,
W-ALL,long,30,B-P2.01,,0.0127,0.5929,2.1161,
W-ALL,long,31,B-S.06,,0.0126,0.6055,2.1063,
W-ALL,long,32,B-P4.10,,0.0125,0.6180,2.0837,
W-ALL,long,33,B-P1.05,,0.0118,0.6298,1.9685,
W-ALL,long,34,C.07,,0.0113,0.6411,1.8947,
W-ALL,long,35,B-P2.04,,0.0112,0.6523,1.8805,
W-ALL,long,36,E28.01,,0.0112,0.6635,1.8728,
W-ALL,long,37,C.02,,0.0109,0.6745,1.8250,
W-ALL,long,38,E43.01,,0.0106,0.6851,1.7756,
W-ALL,long,39,B-P4.01,,0.0105,0.6956,1.7563,
W-ALL,long,40,B-P4.05,,0.0102,0.7058,1.7080,
W-ALL,long,41,B-P3.02,,0.0102,0.7159,1.6981,
W-ALL,long,42,B-P3.04,,0.0100,0.7260,1.6799,
W-ALL,long,43,B-P3.01,,0.0100,0.7360,1.6794,
W-ALL,long,44,C.03,,0.0100,0.7461,1.6773,
W-ALL,long,45,B-P3.06,,0.0098,0.7559,1.6399,
W-ALL,long,46,B-P2.05,,0.0094,0.7653,1.5728,
W-ALL,long,47,C.08,,0.0091,0.7744,1.5265,
W-ALL,long,48,C.12,,0.0091,0.7835,1.5166,
W-ALL,long,49,B-P4.09,,0.0090,0.7925,1.5110,
W-ALL,long,50,B-P2.06,,0.0089,0.8014,1.4839,
W-ALL,long,51,E19.01,,0.0085,0.8099,1.4168,
W-ALL,long,52,B-P2.08,,0.0083,0.8182,1.3877,
W-ALL,long,53,E13.01,,0.0081,0.8263,1.3591,
W-ALL,long,54,B-P1.07,,0.0080,0.8342,1.3300,
W-ALL,long,55,E21.01,,0.0078,0.8421,1.3088,
W-ALL,long,56,E06.01,,0.0077,0.8497,1.2795,
W-ALL,long,57,B-S.05,,0.0071,0.8569,1.1943,
W-ALL,long,58,B-P3.09,,0.0071,0.8640,1.1924,
W-ALL,long,59,E16.01,,0.0067,0.8707,1.1257,
W-ALL,long,60,B-P1.08,,0.0067,0.8774,1.1158,
W-ALL,long,61,C.09,,0.0066,0.8840,1.1069,
W-ALL,long,62,E18.01,,0.0062,0.8902,1.0284,
W-ALL,long,63,E17.01,,0.0060,0.8961,0.9998,
W-ALL,long,64,C.01,,0.0059,0.9021,0.9936,
W-ALL,long,65,E23.01,,0.0059,0.9079,0.9801,
W-ALL,long,66,G06.1,,0.0058,0.9137,0.9707,
W-ALL,long,67,B-P3.10,,0.0057,0.9194,0.9515,
W-ALL,long,68,G04.1,,0.0055,0.9249,0.9118,
W-ALL,long,69,E24.01,,0.0053,0.9302,0.8927,
W-ALL,long,70,E10.01,,0.0052,0.9354,0.8698,
W-ALL,long,71,B-P3.05,,0.0050,0.9404,0.8350,
W-ALL,long,72,G03.1,,0.0050,0.9454,0.8350,
W-ALL,long,73,E14.01,,0.0049,0.9503,0.8200,
W-ALL,long,74,B-P3.03,,0.0049,0.9552,0.8147,
W-ALL,long,75,E07.01,,0.0047,0.9599,0.7799,
W-ALL,long,76,B-P1.04,,0.0044,0.9642,0.7305,
W-ALL,long,77,B-P2.10,,0.0041,0.9683,0.6802,
W-ALL,long,78,B-P2.11,,0.0039,0.9722,0.6479,
W-ALL,long,79,B-P3.07,,0.0037,0.9759,0.6206,
W-ALL,long,80,E22.01,,0.0034,0.9793,0.5724,
W-ALL,long,81,E15.01,,0.0034,0.9827,0.5631,
W-ALL,long,82,B-P2.03,,0.0034,0.9860,0.5626,
W-ALL,long,83,B-P2.09,,0.0032,0.9892,0.5337,
W-ALL,long,84,B-P4.02,,0.0027,0.9920,0.4567,
W-ALL,long,85,C.04,,0.0021,0.9941,0.3578,
W-ALL,long,86,B-P3.08,,0.0021,0.9962,0.3556,
W-ALL,long,87,B-P1.09,,0.0021,0.9983,0.3534,
W-ALL,long,88,B-P1.11,,0.0017,1.0000,0.2780,
W-ALL,short,1,E51.01,,0.0433,0.0433,6.3478,
W-ALL,short,2,B-S.10,suspect-regime,0.0339,0.0772,4.9702,
W-ALL,short,3,E01.01,clock,0.0298,0.1069,4.3631,
W-ALL,short,4,E02.01,clock,0.0298,0.1367,4.3631,
W-ALL,short,5,C.08,,0.0286,0.1653,4.1996,
W-ALL,short,6,B-S.03,tempo,0.0249,0.1902,3.6483,
W-ALL,short,7,E03.01,,0.0242,0.2144,3.5435,
W-ALL,short,8,E20.01,,0.0239,0.2383,3.5027,
W-ALL,short,9,C.05,,0.0229,0.2612,3.3571,
W-ALL,short,10,E50.01,,0.0222,0.2834,3.2567,
W-ALL,short,11,B-S.07,,0.0211,0.3045,3.0893,
W-ALL,short,12,B-P1.06,,0.0197,0.3242,2.8927,
W-ALL,short,13,E52.01,,0.0187,0.3429,2.7483,
W-ALL,short,14,B-S.09,,0.0179,0.3609,2.6293,
W-ALL,short,15,E12.01,,0.0165,0.3774,2.4210,
W-ALL,short,16,E05.01,,0.0162,0.3936,2.3752,
W-ALL,short,17,E42.01,,0.0160,0.4096,2.3516,
W-ALL,short,18,B-S.08,,0.0158,0.4254,2.3206,
W-ALL,short,19,B-P4.01,,0.0152,0.4407,2.2332,
W-ALL,short,20,E25.01,,0.0148,0.4554,2.1633,
W-ALL,short,21,B-P2.05,,0.0147,0.4701,2.1517,
W-ALL,short,22,C.02,,0.0144,0.4845,2.1051,
W-ALL,short,23,B-P2.02,,0.0142,0.4987,2.0877,
W-ALL,short,24,B-P1.03,,0.0142,0.5129,2.0877,
W-ALL,short,25,B-P2.01,,0.0142,0.5271,2.0760,
W-ALL,short,26,B-P4.05,,0.0140,0.5411,2.0585,
W-ALL,short,27,B-S.06,,0.0136,0.5548,2.0003,
W-ALL,short,28,C.03,,0.0135,0.5683,1.9843,
W-ALL,short,29,E08.01,,0.0135,0.5818,1.9733,
W-ALL,short,30,C.10,,0.0130,0.5948,1.9130,
W-ALL,short,31,B-P3.06,,0.0128,0.6077,1.8838,
W-ALL,short,32,B-S.14,,0.0125,0.6202,1.8387,
W-ALL,short,33,E19.01,,0.0119,0.6321,1.7383,
W-ALL,short,34,E28.01,,0.0117,0.6437,1.7091,
W-ALL,short,35,E43.01,,0.0117,0.6554,1.7091,
W-ALL,short,36,C.06,,0.0116,0.6669,1.6975,
W-ALL,short,37,B-P2.07,,0.0115,0.6784,1.6800,
W-ALL,short,38,E06.01,,0.0115,0.6899,1.6794,
W-ALL,short,39,B-P1.05,,0.0108,0.7007,1.5868,
W-ALL,short,40,B-P3.07,,0.0105,0.7112,1.5368,
W-ALL,short,41,E18.01,,0.0103,0.7214,1.5053,
W-ALL,short,42,B-P1.02,,0.0103,0.7317,1.5038,
W-ALL,short,43,B-P2.06,,0.0100,0.7417,1.4718,
W-ALL,short,44,B-P2.08,,0.0100,0.7517,1.4645,
W-ALL,short,45,B-P4.02,,0.0100,0.7617,1.4627,
W-ALL,short,46,B-P1.10,,0.0099,0.7716,1.4537,
W-ALL,short,47,B-P1.01,,0.0099,0.7815,1.4515,
W-ALL,short,48,B-P3.02,,0.0099,0.7914,1.4471,
W-ALL,short,49,B-P3.01,,0.0098,0.8012,1.4354,
W-ALL,short,50,C.11,,0.0096,0.8108,1.4109,
W-ALL,short,51,G03.1,,0.0096,0.8204,1.4063,
W-ALL,short,52,B-P3.04,,0.0095,0.8299,1.3907,
W-ALL,short,53,C.12,,0.0094,0.8392,1.3758,
W-ALL,short,54,B-S.05,,0.0084,0.8476,1.2316,
W-ALL,short,55,E22.01,,0.0083,0.8559,1.2142,
W-ALL,short,56,E21.01,,0.0082,0.8641,1.2058,
W-ALL,short,57,B-P4.10,,0.0081,0.8723,1.1895,
W-ALL,short,58,E16.01,,0.0081,0.8804,1.1894,
W-ALL,short,59,B-P2.04,,0.0080,0.8884,1.1777,
W-ALL,short,60,G06.1,,0.0078,0.8962,1.1472,
W-ALL,short,61,E24.01,,0.0065,0.9027,0.9521,
W-ALL,short,62,B-P4.09,,0.0064,0.9091,0.9390,
W-ALL,short,63,B-P2.11,,0.0064,0.9155,0.9385,
W-ALL,short,64,E17.01,,0.0063,0.9218,0.9274,
W-ALL,short,65,C.01,,0.0059,0.9277,0.8642,
W-ALL,short,66,C.09,,0.0058,0.9335,0.8487,
W-ALL,short,67,E13.01,,0.0057,0.9393,0.8400,
W-ALL,short,68,C.07,,0.0055,0.9448,0.8104,
W-ALL,short,69,B-P3.10,,0.0054,0.9502,0.7949,
W-ALL,short,70,B-P3.03,,0.0053,0.9555,0.7774,
W-ALL,short,71,E15.01,,0.0050,0.9605,0.7366,
W-ALL,short,72,B-P1.07,,0.0049,0.9655,0.7235,
W-ALL,short,73,E14.01,,0.0049,0.9704,0.7180,
W-ALL,short,74,E07.01,,0.0039,0.9743,0.5783,
W-ALL,short,75,B-P2.03,,0.0039,0.9782,0.5736,
W-ALL,short,76,E10.01,,0.0030,0.9812,0.4422,
W-ALL,short,77,B-P3.09,,0.0026,0.9839,0.3862,
W-ALL,short,78,E23.01,,0.0024,0.9862,0.3450,
W-ALL,short,79,G04.1,,0.0021,0.9883,0.3116,
W-ALL,short,80,B-P2.09,,0.0019,0.9902,0.2777,
W-ALL,short,81,B-P3.05,,0.0018,0.9920,0.2577,
W-ALL,short,82,B-P1.08,,0.0017,0.9937,0.2533,
W-ALL,short,83,C.04,,0.0017,0.9954,0.2497,
W-ALL,short,84,B-P2.10,,0.0015,0.9969,0.2202,
