# SEL-k=3 re-derivation vs the 15-MINUTE label (barriers 0.5/0.3 unchanged; unresolved dropped). Spent-data characterization only; forward data is the judge.
variant,direction,rank,feature_code,weight,raw_strength
W-STAT-15M,long,1,E51.01,0.0725,10.6121
W-STAT-15M,long,2,E20.01,0.0278,4.0650
W-STAT-15M,long,3,B-P2.06,0.0261,3.8197
W-STAT-15M,long,4,E05.01,0.0257,3.7612
W-STAT-15M,long,5,E42.01,0.0249,3.6521
W-STAT-15M,long,6,E25.01,0.0218,3.1971
W-STAT-15M,long,7,E52.01,0.0212,3.1053
W-STAT-15M,long,8,E08.01,0.0202,2.9554
W-STAT-15M,long,9,E50.01,0.0182,2.6624
W-STAT-15M,long,10,C.10,0.0179,2.6162
W-STAT-15M,long,11,B-P1.02,0.0170,2.4916
W-STAT-15M,long,12,B-P1.01,0.0170,2.4916
W-STAT-15M,long,13,B-S.14,0.0170,2.4840
W-STAT-15M,long,14,B-P1.06,0.0166,2.4316
W-STAT-15M,long,15,B-S.05,0.0160,2.3466
W-STAT-15M,long,16,B-S.07,0.0160,2.3466
W-STAT-15M,long,17,B-P3.03,0.0157,2.3040
W-STAT-15M,long,18,B-P1.04,0.0155,2.2663
W-STAT-15M,long,19,B-P3.04,0.0153,2.2390
W-STAT-15M,long,20,B-P2.01,0.0150,2.1939
W-STAT-15M,long,21,B-P2.02,0.0149,2.1787
W-STAT-15M,long,22,E12.01,0.0149,2.1765
W-STAT-15M,long,23,E43.01,0.0148,2.1612
W-STAT-15M,long,24,B-P3.02,0.0148,2.1612
W-STAT-15M,long,25,B-P3.01,0.0147,2.1514
W-STAT-15M,long,26,E03.01,0.0141,2.0663
W-STAT-15M,long,27,E16.01,0.0138,2.0162
W-STAT-15M,long,28,B-P1.08,0.0137,2.0063
W-STAT-15M,long,29,B-P2.04,0.0137,2.0039
W-STAT-15M,long,30,B-P1.03,0.0131,1.9213
W-STAT-15M,long,31,B-S.06,0.0131,1.9133
W-STAT-15M,long,32,E28.01,0.0130,1.9060
W-STAT-15M,long,33,C.03,0.0123,1.7986
W-STAT-15M,long,34,C.01,0.0123,1.7986
W-STAT-15M,long,35,C.02,0.0123,1.7986
W-STAT-15M,long,36,B-P2.08,0.0117,1.7156
W-STAT-15M,long,37,E06.01,0.0117,1.7150
W-STAT-15M,long,38,C.09,0.0114,1.6661
W-STAT-15M,long,39,G03.1,0.0111,1.6236
W-STAT-15M,long,40,B-P2.03,0.0110,1.6084
W-STAT-15M,long,41,B-P4.09,0.0108,1.5833
W-STAT-15M,long,42,B-P3.10,0.0108,1.5811
W-STAT-15M,long,43,B-S.08,0.0108,1.5811
W-STAT-15M,long,44,C.05,0.0106,1.5484
W-STAT-15M,long,45,G06.1,0.0106,1.5484
W-STAT-15M,long,46,E07.01,0.0105,1.5437
W-STAT-15M,long,47,C.07,0.0105,1.5419
W-STAT-15M,long,48,E14.01,0.0104,1.5273
W-STAT-15M,long,49,E21.01,0.0103,1.5073
W-STAT-15M,long,50,G04.1,0.0098,1.4390
W-STAT-15M,long,51,B-P2.07,0.0098,1.4383
W-STAT-15M,long,52,B-P4.01,0.0098,1.4284
W-STAT-15M,long,53,B-P4.05,0.0098,1.4284
W-STAT-15M,long,54,E24.01,0.0095,1.3859
W-STAT-15M,long,55,E13.01,0.0092,1.3434
W-STAT-15M,long,56,E22.01,0.0085,1.2507
W-STAT-15M,long,57,B-P2.05,0.0085,1.2507
W-STAT-15M,long,58,B-S.09,0.0083,1.2082
W-STAT-15M,long,59,C.08,0.0072,1.0468
W-STAT-15M,long,60,B-P1.10,0.0071,1.0404
W-STAT-15M,long,61,E17.01,0.0071,1.0381
W-STAT-15M,long,62,B-P1.07,0.0070,1.0282
W-STAT-15M,long,63,B-P3.05,0.0069,1.0130
W-STAT-15M,long,64,B-P1.05,0.0069,1.0032
W-STAT-15M,long,65,E10.01,0.0068,0.9930
W-STAT-15M,long,66,B-P2.09,0.0066,0.9607
W-STAT-15M,long,67,B-P3.09,0.0059,0.8660
W-STAT-15M,long,68,B-P2.11,0.0059,0.8591
W-STAT-15M,long,69,E15.01,0.0058,0.8429
W-STAT-15M,long,70,B-P3.06,0.0057,0.8331
W-STAT-15M,long,71,B-P4.02,0.0056,0.8266
W-STAT-15M,long,72,E19.01,0.0056,0.8178
W-STAT-15M,long,73,B-P3.07,0.0052,0.7684
W-STAT-15M,long,74,B-P1.09,0.0052,0.7628
W-STAT-15M,long,75,B-P1.11,0.0044,0.6454
W-STAT-15M,long,76,E23.01,0.0041,0.6052
W-STAT-15M,long,77,B-P2.10,0.0040,0.5897
W-STAT-15M,long,78,C.12,0.0035,0.5128
W-STAT-15M,long,79,E18.01,0.0027,0.3926
W-STAT-15M,long,80,C.04,0.0018,0.2600
W-STAT-15M,long,81,B-P3.08,0.0004,0.0634
W-STAT-15M,long,82,B-P4.10,0.0004,0.0562
W-STAT-15M,short,1,E51.01,0.0759,8.7911
W-STAT-15M,short,2,E50.01,0.0358,4.1409
W-STAT-15M,short,3,B-P2.06,0.0239,2.7643
W-STAT-15M,short,4,B-P2.02,0.0227,2.6298
W-STAT-15M,short,5,B-P2.01,0.0226,2.6156
W-STAT-15M,short,6,B-P2.04,0.0218,2.5226
W-STAT-15M,short,7,E20.01,0.0212,2.4511
W-STAT-15M,short,8,B-P1.01,0.0208,2.4057
W-STAT-15M,short,9,B-P1.02,0.0207,2.3915
W-STAT-15M,short,10,E52.01,0.0200,2.3203
W-STAT-15M,short,11,B-P1.04,0.0196,2.2642
W-STAT-15M,short,12,B-P2.03,0.0191,2.2116
W-STAT-15M,short,13,B-S.14,0.0181,2.0924
W-STAT-15M,short,14,B-P3.02,0.0179,2.0771
W-STAT-15M,short,15,B-P3.01,0.0178,2.0629
W-STAT-15M,short,16,B-P2.08,0.0173,1.9977
W-STAT-15M,short,17,B-S.05,0.0156,1.8086
W-STAT-15M,short,18,B-P4.01,0.0156,1.8081
W-STAT-15M,short,19,B-S.07,0.0154,1.7780
W-STAT-15M,short,20,B-P4.02,0.0151,1.7447
W-STAT-15M,short,21,B-P4.09,0.0147,1.7020
W-STAT-15M,short,22,E06.01,0.0146,1.6942
W-STAT-15M,short,23,B-P3.03,0.0146,1.6889
W-STAT-15M,short,24,C.08,0.0142,1.6396
W-STAT-15M,short,25,B-P4.05,0.0133,1.5391
W-STAT-15M,short,26,B-S.06,0.0129,1.4948
W-STAT-15M,short,27,B-P2.05,0.0129,1.4948
W-STAT-15M,short,28,C.09,0.0128,1.4800
W-STAT-15M,short,29,B-P1.06,0.0127,1.4664
W-STAT-15M,short,30,G03.1,0.0125,1.4500
W-STAT-15M,short,31,B-P2.07,0.0123,1.4193
W-STAT-15M,short,32,B-P3.04,0.0122,1.4071
W-STAT-15M,short,33,B-P3.10,0.0121,1.4051
W-STAT-15M,short,34,B-P3.07,0.0115,1.3348
W-STAT-15M,short,35,E28.01,0.0115,1.3297
W-STAT-15M,short,36,E14.01,0.0114,1.3232
W-STAT-15M,short,37,E24.01,0.0111,1.2849
W-STAT-15M,short,38,E13.01,0.0111,1.2849
W-STAT-15M,short,39,C.07,0.0110,1.2757
W-STAT-15M,short,40,B-P3.06,0.0110,1.2701
W-STAT-15M,short,41,B-P1.03,0.0104,1.2089
W-STAT-15M,short,42,C.02,0.0103,1.1957
W-STAT-15M,short,43,C.05,0.0103,1.1957
W-STAT-15M,short,44,E43.01,0.0102,1.1810
W-STAT-15M,short,45,B-P3.05,0.0101,1.1651
W-STAT-15M,short,46,E03.01,0.0101,1.1651
W-STAT-15M,short,47,E23.01,0.0098,1.1361
W-STAT-15M,short,48,B-P2.11,0.0098,1.1357
W-STAT-15M,short,49,E42.01,0.0097,1.1259
W-STAT-15M,short,50,B-P1.11,0.0097,1.1191
W-STAT-15M,short,51,E05.01,0.0096,1.1153
W-STAT-15M,short,52,C.01,0.0096,1.1110
W-STAT-15M,short,53,E25.01,0.0094,1.0913
W-STAT-15M,short,54,C.10,0.0094,1.0885
W-STAT-15M,short,55,C.03,0.0093,1.0820
W-STAT-15M,short,56,E07.01,0.0093,1.0719
W-STAT-15M,short,57,B-P1.08,0.0087,1.0072
W-STAT-15M,short,58,G04.1,0.0085,0.9846
W-STAT-15M,short,59,B-P1.05,0.0084,0.9710
W-STAT-15M,short,60,E08.01,0.0083,0.9615
W-STAT-15M,short,61,B-S.09,0.0082,0.9546
W-STAT-15M,short,62,E10.01,0.0079,0.9145
W-STAT-15M,short,63,B-P1.10,0.0078,0.8980
W-STAT-15M,short,64,E16.01,0.0076,0.8819
W-STAT-15M,short,65,E12.01,0.0072,0.8371
W-STAT-15M,short,66,E19.01,0.0072,0.8365
W-STAT-15M,short,67,E21.01,0.0070,0.8108
W-STAT-15M,short,68,B-P1.09,0.0064,0.7466
W-STAT-15M,short,69,E18.01,0.0063,0.7321
W-STAT-15M,short,70,B-S.08,0.0053,0.6124
W-STAT-15M,short,71,B-P3.09,0.0048,0.5515
W-STAT-15M,short,72,B-P2.10,0.0046,0.5335
W-STAT-15M,short,73,E17.01,0.0040,0.4631
W-STAT-15M,short,74,C.12,0.0033,0.3820
W-STAT-15M,short,75,E15.01,0.0032,0.3740
W-STAT-15M,short,76,B-P1.07,0.0030,0.3434
W-STAT-15M,short,77,B-P2.09,0.0027,0.3107
W-STAT-15M,short,78,G06.1,0.0023,0.2654
W-STAT-15M,short,79,E22.01,0.0014,0.1646
W-STAT-15M,short,80,B-P4.10,0.0010,0.1174
W-STAT-15M,short,81,B-P3.08,0.0006,0.0707
W-STAT-15M,short,82,C.04,0.0003,0.0290
