# SEL-k=100 full re-derivation (discovery-only fit). C@k = context over k-1 priors (registry-literal only at k=16). W-STAT excl = post-audit flag set. HOLDOUT numbers elsewhere are comparison material — 15 extra trials of selection bias; forward data is the only judge.
variant,direction,rank,feature_code,flag,weight,cumulative_weight,raw_strength,deduped_aliases
W-ALL,long,81,E07.01,,0.0035,0.9823,0.8434,
W-ALL,long,82,E10.01,,0.0034,0.9857,0.8075,
W-ALL,long,83,B-P2.11,,0.0030,0.9888,0.7307,
W-ALL,long,84,B-P1.04,,0.0030,0.9917,0.7111,
W-ALL,long,85,E15.01,,0.0029,0.9946,0.6926,
W-ALL,long,86,E22.01,,0.0022,0.9968,0.5298,
W-ALL,long,87,B-P2.03,,0.0022,0.9990,0.5263,
W-ALL,long,88,B-P1.11,,0.0010,1.0000,0.2360,
W-ALL,short,1,B-P1.06,,0.0335,0.0335,7.5892,
W-ALL,short,2,B-P2.10,,0.0313,0.0648,7.0904,
W-ALL,short,3,C.12,,0.0291,0.0939,6.5986,
W-ALL,short,4,E51.01,,0.0280,0.1219,6.3478,
W-ALL,short,5,B-S.05,,0.0269,0.1489,6.0979,
W-ALL,short,6,C.09,,0.0265,0.1754,6.0095,
W-ALL,short,7,B-P2.08,,0.0254,0.2007,5.7442,
W-ALL,short,8,C.06,,0.0249,0.2256,5.6440,
W-ALL,short,9,B-S.09,,0.0239,0.2495,5.4121,
W-ALL,short,10,B-P1.05,,0.0226,0.2721,5.1194,
W-ALL,short,11,E01.01,clock,0.0198,0.2920,4.4945,
W-ALL,short,12,E02.01,clock,0.0198,0.3118,4.4945,
W-ALL,short,13,C.05,,0.0184,0.3302,4.1762,
W-ALL,short,14,B-S.03,tempo,0.0183,0.3485,4.1409,
W-ALL,short,15,C.11,,0.0182,0.3667,4.1211,
W-ALL,short,16,B-P4.04,,0.0181,0.3848,4.0898,
W-ALL,short,17,B-P1.10,,0.0180,0.4027,4.0727,
W-ALL,short,18,E20.01,,0.0175,0.4202,3.9640,
W-ALL,short,19,B-P3.08,,0.0175,0.4377,3.9575,
W-ALL,short,20,E03.01,,0.0172,0.4549,3.9051,
W-ALL,short,21,C.03,,0.0169,0.4718,3.8285,
W-ALL,short,22,B-S.14,,0.0153,0.4871,3.4670,
W-ALL,short,23,C.02,,0.0151,0.5022,3.4159,
W-ALL,short,24,E50.01,,0.0144,0.5166,3.2567,
W-ALL,short,25,B-P2.06,,0.0139,0.5305,3.1388,
W-ALL,short,26,B-P2.05,,0.0133,0.5437,3.0093,
W-ALL,short,27,B-P1.07,,0.0133,0.5570,3.0091,
W-ALL,short,28,B-P3.06,,0.0132,0.5703,2.9993,
W-ALL,short,29,B-S.07,,0.0130,0.5833,2.9443,
W-ALL,short,30,B-P4.10,,0.0129,0.5961,2.9150,
W-ALL,short,31,E12.01,,0.0123,0.6085,2.7930,
W-ALL,short,32,E52.01,,0.0121,0.6206,2.7483,
W-ALL,short,33,C.04,,0.0119,0.6325,2.7018,
W-ALL,short,34,E05.01,,0.0114,0.6439,2.5755,
W-ALL,short,35,E42.01,,0.0113,0.6551,2.5516,
W-ALL,short,36,B-P4.05,,0.0110,0.6662,2.4983,
W-ALL,short,37,B-P2.07,,0.0108,0.6769,2.4393,
W-ALL,short,38,B-P4.01,,0.0106,0.6876,2.4099,
W-ALL,short,39,B-P3.09,,0.0106,0.6981,2.3958,
W-ALL,short,40,C.07,,0.0105,0.7087,2.3865,
W-ALL,short,41,E08.01,,0.0103,0.7190,2.3419,
W-ALL,short,42,B-P1.03,,0.0102,0.7292,2.3136,
W-ALL,short,43,E25.01,,0.0098,0.7390,2.2252,
W-ALL,short,44,B-P4.09,,0.0097,0.7488,2.2075,
W-ALL,short,45,C.10,,0.0093,0.7581,2.1073,
W-ALL,short,46,B-S.06,,0.0092,0.7673,2.0778,
W-ALL,short,47,E43.01,,0.0089,0.7762,2.0189,
W-ALL,short,48,E28.01,,0.0083,0.7845,1.8794,
W-ALL,short,49,B-P2.01,,0.0083,0.7927,1.8715,
W-ALL,short,50,B-P2.02,,0.0083,0.8010,1.8715,
W-ALL,short,51,B-P3.05,,0.0080,0.8090,1.8204,
W-ALL,short,52,E06.01,,0.0078,0.8168,1.7707,
W-ALL,short,53,B-S.08,,0.0078,0.8246,1.7654,
W-ALL,short,54,B-P1.08,,0.0076,0.8322,1.7241,
W-ALL,short,55,E19.01,,0.0075,0.8397,1.6947,
W-ALL,short,56,E18.01,,0.0072,0.8469,1.6357,
W-ALL,short,57,E21.01,,0.0072,0.8542,1.6341,
W-ALL,short,58,B-P1.01,,0.0070,0.8611,1.5768,
W-ALL,short,59,B-P1.02,,0.0070,0.8681,1.5768,
W-ALL,short,60,B-P1.09,,0.0069,0.8750,1.5604,
W-ALL,short,61,C.08,,0.0068,0.8818,1.5428,
W-ALL,short,62,B-S.10,suspect-regime,0.0067,0.8885,1.5257,
W-ALL,short,63,G03.1,,0.0067,0.8952,1.5257,
W-ALL,short,64,B-P3.01,,0.0066,0.9018,1.4884,
W-ALL,short,65,B-P3.02,,0.0066,0.9084,1.4884,
W-ALL,short,66,B-P3.04,,0.0065,0.9149,1.4727,
W-ALL,short,67,B-P3.07,,0.0062,0.9211,1.4138,
W-ALL,short,68,E22.01,,0.0060,0.9272,1.3705,
W-ALL,short,69,B-P2.04,,0.0056,0.9328,1.2629,
W-ALL,short,70,B-P2.09,,0.0052,0.9380,1.1873,
W-ALL,short,71,G06.1,,0.0051,0.9431,1.1495,
W-ALL,short,72,B-P2.11,,0.0050,0.9480,1.1271,
W-ALL,short,73,E17.01,,0.0047,0.9528,1.0757,
W-ALL,short,74,E24.01,,0.0046,0.9574,1.0463,
W-ALL,short,75,E16.01,,0.0044,0.9618,0.9952,
W-ALL,short,76,B-P3.10,,0.0043,0.9661,0.9657,
W-ALL,short,77,E13.01,,0.0040,0.9701,0.9068,
