# S4-GEO stage 3 (1m), tick=0.01. EQ cells = first analysis of previously-excluded bars; RECUT cells = re-cuts of mined data. 1m spent throughout.
cell,class,full_n,full_pup,full_lift,disc_n,disc_pup,disc_base,disc_lift,disc_ci_lo,disc_ci_hi,disc_blocks,hold_n,hold_pup,hold_base,hold_lift,hold_ci_lo,hold_ci_hi,hold_blocks,survivor,holdout_pass
T1:O>C,RECUT,4274,47.85,-2.49,2980,46.68,49.64,-2.97,-3.87,-2.09,4,1293,50.5,51.86,-1.35,-1.58,-0.95,2,False,False
T1:O<C,RECUT,4290,52.84,2.51,2921,52.79,49.64,3.15,2.59,3.61,4,1369,52.96,51.86,1.1,0.55,1.52,2,False,False
T1:O=C,EQ,628,50.16,-0.18,436,48.85,49.64,-0.79,-3.28,2.43,4,192,53.12,51.86,1.27,0.26,2.04,2,False,False
T1:O>M,RECUT,3869,48.36,-1.98,2695,47.38,49.64,-2.26,-3.46,-1.34,4,1173,50.55,51.86,-1.3,-1.51,-1.02,2,False,False
T1:O<M,RECUT,3859,52.45,2.11,2605,52.17,49.64,2.52,1.84,3.3,4,1254,53.03,51.86,1.17,0.59,1.66,2,False,False
T1:O=M,EQ,1464,50.0,-0.34,1037,49.18,49.64,-0.46,-1.94,1.82,4,427,51.99,51.86,0.13,-2.16,2.01,2,False,False
T1:O>P,RECUT,3732,48.66,-1.68,2592,47.42,49.64,-2.23,-3.85,-1.14,4,1140,51.49,51.86,-0.37,-0.37,-0.16,2,False,False
T1:O<P,RECUT,3690,52.44,2.1,2481,52.12,49.64,2.47,1.81,3.19,4,1208,53.06,51.86,1.21,-0.35,2.5,2,False,False
T1:O=P,EQ,1770,49.49,-0.85,1264,49.37,49.64,-0.28,-2.73,2.37,4,506,49.8,51.86,-2.05,-5.26,1.13,2,False,False
T1:C>M,RECUT,3932,52.98,2.64,2682,52.8,49.64,3.15,2.64,3.57,4,1250,53.36,51.86,1.5,1.2,1.79,2,False,False
T1:C<M,RECUT,3880,48.14,-2.19,2688,46.95,49.64,-2.7,-3.6,-2.22,4,1191,50.8,51.86,-1.06,-2.05,-0.18,2,False,False
T1:C=M,EQ,1380,48.99,-1.35,967,48.4,49.64,-1.25,-3.07,0.66,4,413,50.36,51.86,-1.49,-5.48,1.91,2,False,False
T1:C>P,RECUT,3759,52.3,1.96,2574,51.94,49.64,2.3,1.58,3.03,4,1185,53.08,51.86,1.22,1.19,1.33,2,False,False
T1:C<P,RECUT,3662,48.23,-2.11,2525,47.49,49.64,-2.16,-3.74,-1.16,4,1136,49.82,51.86,-2.03,-3.28,-1.0,2,False,False
T1:C=P,EQ,1771,50.54,0.2,1238,49.27,49.64,-0.37,-1.51,1.13,4,533,53.47,51.86,1.61,-0.97,4.42,2,False,False
T1:M>P,RECUT,2400,50.0,-0.34,1659,49.31,49.64,-0.34,-1.43,0.66,4,741,51.55,51.86,-0.31,-2.29,2.46,2,False,False
T1:M<P,RECUT,2274,49.47,-0.86,1513,48.91,49.64,-0.74,-1.45,0.01,4,760,50.53,51.86,-1.33,-3.89,0.86,2,False,False
T1:M=P,EQ,4518,50.95,0.61,3165,50.17,49.64,0.53,-0.14,1.41,4,1353,52.77,51.86,0.91,0.84,0.97,2,False,False
T2:O=C=M,EQ,217,51.61,1.28,149,49.66,49.64,0.02,-4.45,8.41,4,68,55.88,51.86,4.03,-1.98,7.79,2,False,False
T2:O=C=P,EQ,253,50.2,-0.14,170,50.0,49.64,0.36,-5.19,9.37,4,83,50.6,51.86,-1.25,-1.48,-1.25,2,False,False
T2:O=M=P,EQ,961,50.36,0.03,700,50.0,49.64,0.36,-2.82,3.91,4,261,51.34,51.86,-0.52,-3.06,1.4,2,False,False
T2:C=M=P,EQ,937,48.67,-1.67,668,47.75,49.64,-1.89,-4.37,1.74,4,269,50.93,51.86,-0.93,-3.29,0.99,2,False,False
T2:O=C&M=P,EQ,380,51.58,1.24,273,50.55,49.64,0.9,-4.21,5.38,4,107,54.21,51.86,2.35,-3.09,7.36,2,False,False
T2:O=M&C=P,EQ,271,52.4,2.06,191,52.36,49.64,2.71,-0.82,9.54,4,80,52.5,51.86,0.64,-3.04,3.07,2,False,False
T2:O=P&C=M,EQ,248,50.81,0.47,168,51.19,49.64,1.55,-6.28,13.57,4,80,50.0,51.86,-1.86,-4.1,-0.09,2,False,False
T2:O=C=M=P,EQ,175,50.86,0.52,123,49.59,49.64,-0.05,-6.95,12.15,4,52,53.85,51.86,1.99,-2.43,4.87,2,False,False
T3:O>=rest,RECUT,4027,48.3,-2.04,2827,47.12,49.64,-2.53,-3.46,-1.78,4,1200,51.08,51.86,-0.77,-2.13,1.05,2,False,False
