# SEL-k=15 full re-derivation (discovery-only fit). C@k = context over k-1 priors (registry-literal only at k=16). W-STAT excl = post-audit flag set. HOLDOUT numbers elsewhere are comparison material — 15 extra trials of selection bias; forward data is the only judge.
variant,direction,rank,feature_code,flag,weight,cumulative_weight,raw_strength,deduped_aliases
W-ALL,long,1,E51.01,,0.0316,0.0316,5.5503,
W-ALL,long,2,E01.01,clock,0.0300,0.0616,5.2602,
W-ALL,long,3,E02.01,clock,0.0300,0.0916,5.2602,
W-ALL,long,4,E50.01,,0.0266,0.1181,4.6658,
W-ALL,long,5,E52.01,,0.0264,0.1446,4.6378,
W-ALL,long,6,C.05,,0.0232,0.1677,4.0669,
W-ALL,long,7,E03.01,,0.0219,0.1897,3.8527,
W-ALL,long,8,B-P1.03,,0.0219,0.2116,3.8527,
W-ALL,long,9,E42.01,,0.0212,0.2328,3.7180,
W-ALL,long,10,E05.01,,0.0211,0.2539,3.7098,
W-ALL,long,11,B-S.07,,0.0210,0.2749,3.6780,
W-ALL,long,12,B-S.10,suspect-regime,0.0206,0.2955,3.6198,
W-ALL,long,13,C.06,,0.0199,0.3154,3.4846,
W-ALL,long,14,B-S.03,tempo,0.0195,0.3349,3.4264,
W-ALL,long,15,B-P4.04,,0.0194,0.3542,3.3967,
W-ALL,long,16,B-P1.06,,0.0191,0.3734,3.3583,
W-ALL,long,17,B-P1.02,,0.0183,0.3916,3.2038,
W-ALL,long,18,B-P1.01,,0.0181,0.4098,3.1830,
W-ALL,long,19,E20.01,,0.0175,0.4273,3.0770,
W-ALL,long,20,B-S.08,,0.0173,0.4446,3.0375,
W-ALL,long,21,E25.01,,0.0154,0.4600,2.6985,
W-ALL,long,22,B-P4.09,,0.0152,0.4752,2.6736,
W-ALL,long,23,B-P4.10,,0.0152,0.4904,2.6721,
W-ALL,long,24,E12.01,,0.0143,0.5048,2.5134,
W-ALL,long,25,B-P2.07,,0.0138,0.5186,2.4260,
W-ALL,long,26,E08.01,,0.0138,0.5324,2.4197,
W-ALL,long,27,B-S.09,,0.0137,0.5460,2.3969,
W-ALL,long,28,B-S.14,,0.0133,0.5593,2.3392,
W-ALL,long,29,C.08,,0.0127,0.5721,2.2327,
W-ALL,long,30,C.03,,0.0125,0.5846,2.1931,
W-ALL,long,31,B-P2.02,,0.0122,0.5967,2.1349,
W-ALL,long,32,B-P2.01,,0.0121,0.6088,2.1161,
W-ALL,long,33,B-P1.05,,0.0121,0.6208,2.1161,
W-ALL,long,34,C.10,,0.0118,0.6327,2.0771,
W-ALL,long,35,B-S.06,,0.0117,0.6443,2.0480,
W-ALL,long,36,B-P3.06,,0.0115,0.6558,2.0184,
W-ALL,long,37,B-P2.04,,0.0107,0.6665,1.8805,
W-ALL,long,38,B-P2.05,,0.0107,0.6772,1.8733,
W-ALL,long,39,E28.01,,0.0107,0.6879,1.8728,
W-ALL,long,40,B-P2.08,,0.0106,0.6984,1.8536,
W-ALL,long,41,C.02,,0.0103,0.7088,1.8151,
W-ALL,long,42,E43.01,,0.0101,0.7189,1.7756,
W-ALL,long,43,B-P4.01,,0.0100,0.7289,1.7563,
W-ALL,long,44,B-P3.07,,0.0100,0.7389,1.7540,
W-ALL,long,45,B-P1.10,,0.0099,0.7488,1.7359,
W-ALL,long,46,B-P4.05,,0.0097,0.7585,1.7080,
