# SEL-k=8 full re-derivation (discovery-only fit). C@k = context over k-1 priors (registry-literal only at k=16). W-STAT excl = post-audit flag set. HOLDOUT numbers elsewhere are comparison material — 15 extra trials of selection bias; forward data is the only judge.
variant,direction,rank,feature_code,flag,weight,cumulative_weight,raw_strength,deduped_aliases
W-ALL,long,1,E51.01,,0.0357,0.0357,5.5503,
W-ALL,long,2,E01.01,clock,0.0338,0.0695,5.2602,
W-ALL,long,3,E02.01,clock,0.0338,0.1033,5.2602,
W-ALL,long,4,E50.01,,0.0300,0.1333,4.6658,
W-ALL,long,5,E52.01,,0.0298,0.1631,4.6378,
W-ALL,long,6,E03.01,,0.0248,0.1879,3.8527,
W-ALL,long,7,B-P1.03,,0.0246,0.2125,3.8236,
W-ALL,long,8,E42.01,,0.0239,0.2364,3.7180,
W-ALL,long,9,E05.01,,0.0238,0.2602,3.7098,
W-ALL,long,10,B-S.03,tempo,0.0228,0.2830,3.5428,
W-ALL,long,11,B-S.10,suspect-regime,0.0223,0.3053,3.4742,
W-ALL,long,12,B-P1.02,,0.0207,0.3260,3.2142,
W-ALL,long,13,B-P1.01,,0.0205,0.3465,3.1934,
W-ALL,long,14,B-S.07,,0.0205,0.3670,3.1830,
W-ALL,long,15,E20.01,,0.0198,0.3868,3.0770,
W-ALL,long,16,B-P1.06,,0.0197,0.4065,3.0671,
W-ALL,long,17,E25.01,,0.0173,0.4238,2.6985,
W-ALL,long,18,C.05,,0.0168,0.4406,2.6116,
W-ALL,long,19,E12.01,,0.0162,0.4568,2.5134,
W-ALL,long,20,C.06,,0.0159,0.4727,2.4754,
W-ALL,long,21,B-S.14,,0.0156,0.4883,2.4260,
W-ALL,long,22,E08.01,,0.0156,0.5039,2.4197,
W-ALL,long,23,C.10,,0.0154,0.5193,2.3974,
W-ALL,long,24,B-P2.07,,0.0147,0.5339,2.2804,
W-ALL,long,25,B-P2.02,,0.0137,0.5477,2.1349,
W-ALL,long,26,B-P2.01,,0.0136,0.5613,2.1161,
W-ALL,long,27,B-S.06,,0.0134,0.5746,2.0771,
W-ALL,long,28,B-S.09,,0.0134,0.5880,2.0766,
W-ALL,long,29,B-P2.04,,0.0121,0.6000,1.8805,
W-ALL,long,30,E28.01,,0.0120,0.6121,1.8728,
W-ALL,long,31,B-P2.06,,0.0117,0.6238,1.8234,
W-ALL,long,32,E43.01,,0.0114,0.6352,1.7756,
W-ALL,long,33,B-P4.01,,0.0113,0.6465,1.7563,
W-ALL,long,34,B-P4.05,,0.0110,0.6575,1.7080,
W-ALL,long,35,B-P3.02,,0.0109,0.6684,1.6981,
W-ALL,long,36,B-P3.04,,0.0108,0.6792,1.6799,
W-ALL,long,37,B-P3.01,,0.0108,0.6900,1.6794,
W-ALL,long,38,B-P4.09,,0.0107,0.7007,1.6649,
W-ALL,long,39,B-S.08,,0.0096,0.7103,1.4948,
W-ALL,long,40,B-P3.06,,0.0095,0.7198,1.4751,
W-ALL,long,41,B-P1.08,,0.0092,0.7290,1.4361,
W-ALL,long,42,E19.01,,0.0091,0.7381,1.4168,
W-ALL,long,43,C.12,,0.0091,0.7472,1.4105,
W-ALL,long,44,C.02,,0.0090,0.7563,1.4075,
W-ALL,long,45,C.08,,0.0088,0.7651,1.3766,
