rank,feature,family,approx,kind,n_cats,n_resolved,coverage,top_bin,n_top,tpr_top,bot_bin,n_bot,tpr_bot,effect,ci_lo,ci_hi,eff_blocks,whipf_top,whipf_bot,baseline,note
197,E24.09,E,,num,4,6866,99.956,Q4,1717,41.934,Q1,1717,40.769,1.165,-3.909,6.180,23,24.228,24.345,40.079,
198,E43.02,E,,num,4,6855,99.796,Q4,1714,41.074,Q1,1714,39.965,1.109,-1.091,3.778,23,22.929,24.037,40.079,
199,E24.01,E,,num,4,6869,100.000,Q4,1717,40.827,Q1,1718,39.756,1.071,-4.617,5.826,23,25.277,24.098,40.079,
200,E24.04,E,,num,4,6645,96.739,Q4,1646,41.920,Q1,1663,40.890,1.030,-3.916,6.052,23,24.423,24.474,40.079,
201,E16.01,E,,num,3,6869,100.000,Q3,1717,38.614,Q1,3435,39.622,-1.008,-5.570,3.846,23,23.704,24.571,40.079,
202,E17.08,E,,num,4,6869,100.000,Q4,1717,40.827,Q1,1718,41.735,-0.908,-2.778,0.986,23,21.957,23.050,40.079,
203,E29.05,E,,num,4,6683,97.292,Q4,1671,36.924,Q1,1671,37.822,-0.898,-4.428,1.628,23,24.237,23.459,40.079,
204,B-S.07,B-,,num,4,6869,100.000,Q4,1717,36.342,Q1,1718,35.448,0.894,-13.326,13.724,23,24.170,24.971,40.079,
205,E13.01,E,,num,4,6869,100.000,Q4,1717,39.080,Q1,1718,39.930,-0.850,-9.013,6.315,23,23.005,25.204,40.079,
206,E13.08,E,,num,4,6869,100.000,Q4,1717,39.080,Q1,1718,39.930,-0.850,-9.013,6.315,23,23.005,25.204,40.079,
207,E16.08,E,,num,4,6869,100.000,Q4,1717,40.419,Q1,1718,41.269,-0.850,-2.485,0.873,23,23.762,23.283,40.079,
208,E32.03,E,,num,4,6869,100.000,Q4,1717,41.060,Q1,1718,41.909,-0.849,-8.041,6.067,23,23.704,27.008,40.079,
209,B-P1.07,B-,,num,4,6869,100.000,Q4,1717,40.944,Q1,1718,40.105,0.839,-6.718,7.138,23,22.772,26.426,40.079,
210,E36.05,E,,num,4,6869,100.000,Q4,1717,40.944,Q1,1718,40.105,0.839,-1.154,3.044,23,24.170,23.807,40.079,
211,E17.04,E,,num,4,6855,99.796,Q4,1004,39.343,Q1,2293,38.552,0.791,-3.647,5.941,23,22.211,27.213,40.079,
212,B-P2.06,B-,,num,4,6869,100.000,Q4,1717,40.594,Q1,1718,39.814,0.780,-9.509,8.894,23,24.520,22.643,40.079,
213,E10.07,E,,num,4,6104,88.863,Q4,1501,39.307,Q1,1527,38.572,0.735,-3.118,4.909,23,24.184,25.278,40.079,
214,E47.10,E,,num,2,6869,100.000,Q2,869,39.471,Q1,6000,40.167,-0.696,-5.883,4.956,23,24.511,24.200,40.079,
215,E17.01,E,,num,3,6869,100.000,Q3,1717,39.895,Q1,3435,39.243,0.652,-3.129,4.819,23,22.423,25.328,40.079,
216,E23.08,E,,num,4,6869,100.000,Q4,1717,39.720,Q1,1718,39.115,0.605,-0.982,2.325,23,24.811,24.098,40.079,
217,B-P3.03,B-,,num,4,6869,100.000,Q4,1717,39.604,Q1,1718,38.999,0.605,-8.361,10.637,23,25.044,23.690,40.079,
218,B-P3.05,B-,,num,4,6869,100.000,Q4,1717,39.196,Q1,1718,38.591,0.605,-4.055,5.420,23,22.889,26.601,40.079,
219,B-S.11,B-,,num,4,6869,100.000,Q4,1717,39.196,Q1,1718,38.591,0.605,-4.055,5.420,23,22.889,26.601,40.079,
220,B-P2.09,B-,,num,4,6869,100.000,Q4,1289,40.341,Q1,1774,39.741,0.601,-3.807,5.440,23,23.662,25.028,40.079,
221,E57.01,E,,num,2,6834,99.490,Q2,1707,39.543,Q1,5127,40.140,-0.597,-2.588,1.570,23,23.023,24.693,40.079,
222,E25.06,E,,num,4,6855,99.796,Q4,1178,41.087,Q1,2591,41.683,-0.596,-2.727,1.632,23,22.071,24.624,40.079,
223,E20.03,E,,num,4,6855,99.796,Q4,1714,39.498,Q1,1714,40.082,-0.583,-4.198,2.299,23,25.379,24.562,40.079,
224,E03.08,E,,num,4,6869,100.000,Q4,1717,44.554,Q1,1718,44.005,0.550,-1.019,2.170,23,23.413,24.098,40.079,
225,B-P1.08,B-,,num,4,6869,100.000,Q4,1717,40.419,Q1,1718,39.872,0.547,-3.523,4.396,23,23.646,22.468,40.079,
226,E20.08,E,,num,4,6869,100.000,Q4,1717,39.779,Q1,1718,39.232,0.547,-0.877,2.067,23,23.529,23.050,40.079,
227,E38.07,E,,num,4,6869,100.000,Q4,1717,39.720,Q1,1718,39.173,0.547,-0.785,1.946,23,25.393,24.854,40.079,
228,E47.02,E,,num,4,6855,99.796,Q4,378,39.683,Q1,1718,40.221,-0.539,-7.875,7.184,21,26.190,26.251,40.079,
229,E48.10,E,,num,2,6869,100.000,Q2,972,40.535,Q1,5897,40.003,0.532,-7.649,7.488,23,22.119,24.589,40.079,
230,E18.02,E,,num,4,6855,99.796,Q4,1714,41.540,Q1,1714,42.065,-0.525,-3.495,2.564,23,23.396,26.488,40.079,
231,E16.04,E,,num,4,6855,99.796,Q4,981,38.124,Q1,1752,38.642,-0.517,-3.966,3.649,23,23.140,26.598,40.079,
232,E13.06,E,,num,4,6866,99.956,Q4,1717,39.720,Q1,1718,40.221,-0.501,-7.369,7.690,23,22.539,25.902,40.079,
233,E21.08,E,,num,4,6869,100.000,Q4,1717,40.303,Q1,1718,40.803,-0.500,-1.840,0.612,23,24.403,23.516,40.079,
234,E29.04,E,,num,4,5454,79.400,Q4,1317,39.484,Q1,1426,38.990,0.493,-6.551,7.508,23,24.298,26.928,40.079,
235,E17.02,E,,num,4,6855,99.796,Q4,1714,41.015,Q1,1714,41.482,-0.467,-3.614,2.636,23,22.579,25.088,40.079,
236,E21.03,E,,num,4,6855,99.796,Q4,1714,40.665,Q1,1714,41.132,-0.467,-3.200,2.135,23,23.746,23.629,40.079,
237,E24.08,E,,num,4,6869,100.000,Q4,1717,40.303,Q1,1718,39.872,0.431,-1.187,2.022,23,23.588,24.214,40.079,
238,E15.05,E,,num,4,6855,99.796,Q4,1450,40.138,Q1,2293,39.730,0.408,-2.183,3.300,23,24.759,23.681,40.079,
239,G04.1,G,,num,4,6869,100.000,Q4,1717,40.128,Q1,2144,39.739,0.389,-1.746,2.705,23,23.471,23.694,40.079,
240,E23.01,E,,num,4,6869,100.000,Q4,1717,39.546,Q1,1718,39.930,-0.384,-5.930,5.108,23,24.636,23.516,40.079,
241,B-P1.05,B-,,num,4,6869,100.000,Q4,1717,40.944,Q1,1718,41.327,-0.384,-9.880,7.971,23,23.704,27.357,40.079,
242,C.07,C,,num,4,6869,100.000,Q4,1445,40.761,Q1,2095,40.382,0.379,-7.405,8.549,23,23.806,25.346,40.079,
243,E37.01,E,,num,3,6869,100.000,Q3,1717,39.429,Q1,3435,39.796,-0.367,-3.643,2.866,23,24.287,24.745,40.079,
244,E28.07,E,,num,4,6869,100.000,Q4,1717,40.711,Q1,1718,41.036,-0.326,-3.064,2.006,23,25.859,23.865,40.079,
245,E36.01,E,,num,3,6869,100.000,Q3,1717,39.953,Q1,3435,39.738,0.215,-1.589,2.150,23,24.578,24.774,40.079,
246,C.04,C,,cat,2,6869,100.000,chop,3423,40.169,trend,3446,39.988,0.181,-3.172,4.155,23,23.839,24.637,40.079,
247,B-P1.11,B-,,num,2,6869,100.000,Q2,2067,40.203,Q1,4802,40.025,0.178,-2.607,2.778,23,24.577,24.094,40.079,
248,E56.05,E,,num,4,6851,99.738,Q4,1713,40.572,Q1,1713,40.747,-0.175,-1.884,1.581,23,23.643,23.117,40.079,
249,E17.06,E,,num,4,6866,99.956,Q4,1717,40.128,Q1,1717,39.953,0.175,-6.533,6.982,23,22.190,24.461,40.079,
250,B-P2.03,B-,,num,4,6869,100.000,Q4,1717,40.245,Q1,1719,40.081,0.163,-7.493,7.302,23,24.869,24.607,40.079,
251,E38.06,E,,num,4,6855,99.796,Q4,895,39.888,Q1,3330,40.030,-0.142,-4.300,3.805,23,23.911,24.204,40.079,
252,E14.06,E,,num,4,6869,100.000,Q4,1717,39.604,Q1,1718,39.464,0.139,-1.956,2.065,23,24.578,23.632,40.079,
