rank,feature,family,approx,kind,n_cats,n_resolved,coverage,top_bin,n_top,tpr_top,bot_bin,n_bot,tpr_bot,effect,ci_lo,ci_hi,eff_blocks,whipf_top,whipf_bot,baseline,note
84,B-S.12,B-,,num,4,6869,100.000,Q4,1717,31.275,Q1,1718,35.681,-4.406,-11.794,2.806,23,25.743,24.854,35.682,
85,B-P1.01,B-,,num,4,6869,100.000,Q4,1716,30.303,Q1,1719,34.671,-4.368,-13.301,5.119,23,26.690,26.003,35.682,
86,B-P2.10,B-,,num,3,6869,100.000,Q3,1178,31.834,Q1,5048,36.193,-4.359,-10.490,1.895,23,25.552,24.089,35.682,
87,E48.02,E,,num,4,6855,99.796,Q4,382,39.529,Q1,1714,43.816,-4.287,-9.232,0.712,22,17.801,22.695,35.682,
88,E17.04,E,,num,4,6855,99.796,Q4,1004,38.446,Q1,2293,34.235,4.212,-0.114,8.001,23,22.211,27.213,35.682,
89,C.03,C,,num,4,6869,100.000,Q4,1717,40.128,Q1,1718,35.972,4.156,-3.639,11.328,23,22.831,24.971,35.682,
90,E32.03,E,,num,4,6869,100.000,Q4,1717,35.236,Q1,1718,31.083,4.153,-2.865,10.306,23,23.704,27.008,35.682,
91,E19.02,E,,num,4,6855,99.796,Q4,1714,34.072,Q1,1714,29.988,4.084,0.984,6.993,23,24.329,26.488,35.682,
92,B-P1.05,B-,,num,4,6869,100.000,Q4,1717,35.352,Q1,1718,31.315,4.037,-4.412,13.213,23,23.704,27.357,35.682,
93,E28.09,E,,num,4,6866,99.956,Q4,1717,34.013,Q1,1717,38.031,-4.019,-8.443,0.176,23,26.500,24.054,35.682,
94,E39.04,E,,num,4,6855,99.796,Q4,478,30.962,Q1,2200,34.955,-3.992,-9.754,1.997,23,24.268,24.909,35.682,
95,E16.04,E,,num,4,6855,99.796,Q4,981,38.736,Q1,1752,34.760,3.976,0.002,8.016,23,23.140,26.598,35.682,
96,E16.06,E,,num,4,6866,99.956,Q4,1717,37.857,Q1,1717,33.955,3.902,-2.670,10.223,23,23.355,24.752,35.682,
97,E20.01,E,,num,4,6869,100.000,Q4,1717,39.080,Q1,1718,35.215,3.864,-5.756,16.841,23,23.821,23.283,35.682,
98,E24.06,E,,num,4,6855,99.796,Q4,1473,33.333,Q1,2519,37.197,-3.864,-7.705,0.517,23,23.218,24.256,35.682,
99,E13.06,E,,num,4,6866,99.956,Q4,1717,37.740,Q1,1718,33.877,3.864,-3.670,10.770,23,22.539,25.902,35.682,
100,C.09,C,,num,4,6869,100.000,Q4,1717,37.100,Q1,1718,33.236,3.863,-4.954,12.013,23,24.694,26.659,35.682,
101,E51.08,E,sz-coverage,num,4,2270,33.047,Q4,566,37.809,Q1,598,33.946,3.863,-12.644,22.326,7,27.739,24.247,35.682,
102,E45.06,E,,num,4,6855,99.796,Q4,1506,36.919,Q1,2239,33.095,3.824,1.211,6.432,23,23.240,24.073,35.682,
103,E45.05,E,,num,4,6855,99.796,Q4,1714,37.398,Q1,1714,33.606,3.792,0.553,7.383,23,23.221,23.862,35.682,
104,B-P2.04,B-,,cat,2,6869,100.000,bull,3367,37.600,bear,3502,33.838,3.762,-2.259,9.538,23,23.522,24.929,35.682,
105,B-S.09,B-,,num,4,6869,100.000,Q4,1717,36.284,Q1,1718,40.047,-3.762,-9.907,3.654,23,24.170,25.087,35.682,
106,K.05,K,,num,4,6865,99.942,Q4,1716,39.452,Q1,1717,35.702,3.750,-4.463,11.161,23,22.902,22.073,35.682,
107,E37.02,E,,num,4,6855,99.796,Q4,1714,34.247,Q1,1714,37.981,-3.734,-7.774,-0.347,23,24.621,23.279,35.682,
108,C.11,C,,num,4,6869,100.000,Q4,1184,37.500,Q1,1732,33.776,3.724,-3.132,12.060,23,23.902,25.289,35.682,
109,E05.07,E,,num,4,6855,99.796,Q4,1486,36.945,Q1,2267,33.260,3.685,0.964,6.228,23,22.880,24.438,35.682,
110,E03.07,E,,num,4,6855,99.796,Q4,1507,39.416,Q1,1778,35.771,3.646,-2.213,8.515,23,25.547,26.434,35.682,
111,E01.01,E,,num,4,6869,100.000,Q4,1717,42.341,Q1,1718,38.708,3.633,-8.289,10.451,12,23.937,22.352,35.682,
112,E02.01,E,,num,4,6869,100.000,Q4,1717,42.341,Q1,1718,38.708,3.633,-8.289,10.451,12,23.937,22.352,35.682,
113,E18.02,E,,num,4,6855,99.796,Q4,1714,35.064,Q1,1714,31.447,3.617,-0.217,7.314,23,23.396,26.488,35.682,
114,B-S.05,B-,,num,4,6869,100.000,Q4,1717,37.333,Q1,1718,33.760,3.572,-5.192,11.580,23,24.752,26.251,35.682,
