rank,feature,family,approx,kind,n_cats,n_resolved,coverage,top_bin,n_top,tpr_top,bot_bin,n_bot,tpr_bot,effect,ci_lo,ci_hi,eff_blocks,whipf_top,whipf_bot,baseline,note
227,B-P2.03,B-,,num,4,6869,100.000,Q4,1717,34.886,Q1,1719,35.311,-0.425,-6.968,6.036,23,24.869,24.607,35.682,
228,E13.02,E,,num,4,6855,99.796,Q4,1714,35.123,Q1,1714,35.531,-0.408,-4.036,3.128,23,23.454,25.613,35.682,
229,E21.08,E,,num,4,6869,100.000,Q4,1717,35.294,Q1,1718,35.681,-0.387,-1.633,0.884,23,24.403,23.516,35.682,
230,E47.10,E,,num,2,6869,100.000,Q2,869,36.018,Q1,6000,35.633,0.385,-6.159,6.907,23,24.511,24.200,35.682,
231,E37.06,E,,num,4,6869,100.000,Q4,1717,37.333,Q1,1718,36.962,0.371,-1.373,1.870,23,23.180,25.029,35.682,
232,E16.08,E,,num,4,6869,100.000,Q4,1717,35.818,Q1,1718,35.448,0.370,-1.245,1.988,23,23.762,23.283,35.682,
233,E10.07,E,,num,4,6104,88.863,Q4,1501,36.509,Q1,1527,36.149,0.360,-2.698,3.488,23,24.184,25.278,35.682,
234,E56.05,E,,num,4,6851,99.738,Q4,1713,35.785,Q1,1713,36.135,-0.350,-1.970,1.158,23,23.643,23.117,35.682,
235,E21.03,E,,num,4,6855,99.796,Q4,1714,35.589,Q1,1714,35.239,0.350,-3.722,4.046,23,23.746,23.629,35.682,
236,E37.03,E,,num,4,6866,99.956,Q4,1717,36.401,Q1,1717,36.750,-0.349,-3.004,2.478,23,23.879,25.393,35.682,
237,E38.03,E,,num,4,6866,99.956,Q4,1717,38.730,Q1,1717,38.381,0.349,-3.643,4.782,23,24.752,22.831,35.682,
238,E22.01,E,,num,3,6869,100.000,Q3,1717,36.284,Q1,3435,35.953,0.331,-3.618,4.296,23,23.063,25.182,35.682,
239,E57.05,E,,num,4,6094,88.717,Q4,1524,35.236,Q1,1524,35.499,-0.262,-3.703,3.101,23,22.441,25.328,35.682,
240,E20.03,E,,num,4,6855,99.796,Q4,1714,35.123,Q1,1714,35.356,-0.233,-3.641,3.269,23,25.379,24.562,35.682,
241,E23.02,E,,num,4,6855,99.796,Q4,1714,34.947,Q1,1714,35.181,-0.233,-3.637,2.806,23,24.912,23.396,35.682,
242,E24.08,E,,num,4,6869,100.000,Q4,1717,36.109,Q1,1718,35.914,0.196,-1.023,1.461,23,23.588,24.214,35.682,
243,E37.05,E,,num,4,6855,99.796,Q4,1197,34.503,Q1,2307,34.330,0.173,-2.388,2.277,23,22.723,24.794,35.682,
244,G04.1,G,,num,4,6869,100.000,Q4,1717,36.401,Q1,2144,36.567,-0.166,-2.827,2.565,23,23.471,23.694,35.682,
245,E15.01,E,,num,4,6869,100.000,Q4,1717,35.527,Q1,1718,35.681,-0.154,-3.529,3.233,23,25.510,23.749,35.682,
246,E03.08,E,,num,4,6869,100.000,Q4,1717,32.033,Q1,1718,31.898,0.135,-1.487,1.696,23,23.413,24.098,35.682,
247,E07.04,E,,num,4,6104,88.863,Q4,1526,35.518,Q1,1526,35.649,-0.131,-3.032,2.800,23,24.181,25.819,35.682,
248,E29.05,E,,num,4,6683,97.292,Q4,1671,38.839,Q1,1671,38.719,0.120,-2.111,2.716,23,24.237,23.459,35.682,
249,B-S.07,B-,,num,4,6869,100.000,Q4,1717,39.487,Q1,1718,39.581,-0.093,-12.642,15.457,23,24.170,24.971,35.682,
250,E38.02,E,,num,4,6855,99.796,Q4,1714,36.056,Q1,1714,36.114,-0.058,-2.165,2.338,23,25.788,24.504,35.682,
251,E18.08,E,,num,4,6866,99.956,Q4,1717,35.877,Q1,1717,35.935,-0.058,-4.785,4.257,23,23.821,25.743,35.682,
252,B-P3.09,B-,,num,4,6869,100.000,Q4,1678,36.532,Q1,1815,36.584,-0.052,-3.852,3.657,23,22.527,24.518,35.682,
253,K.06,K,,cat,3,6865,99.942,below,827,35.671,above,845,35.621,0.050,-8.638,9.687,23,25.877,25.444,35.682,
254,E36.01,E,,num,3,6869,100.000,Q3,1717,35.469,Q1,3435,35.488,-0.019,-2.159,2.103,23,24.578,24.774,35.682,
255,E43.02,E,,num,4,6855,99.796,Q4,1714,35.998,Q1,1714,35.998,0.000,-2.119,1.875,23,22.929,24.037,35.682,
256,B-S.01,,,,,,,,,,,,,,,,,,,,degenerate/constant
257,B-S.04,,,,,,,,,,,,,,,,,,,,insufficient bin n
258,E04.05,,,,,,,,,,,,,,,,,,,,degenerate/constant
259,E39.01,,,,,,,,,,,,,,,,,,,,degenerate/constant
260,E47.01,,,,,,,,,,,,,,,,,,,,degenerate/constant
261,E48.01,,,,,,,,,,,,,,,,,,,,degenerate/constant
262,E49.01,,,,,,,,,,,,,,,,,,,,degenerate/constant
