# SEL-k=50 full re-derivation (discovery-only fit). C@k = context over k-1 priors (registry-literal only at k=16). W-STAT excl = post-audit flag set. HOLDOUT numbers elsewhere are comparison material — 15 extra trials of selection bias; forward data is the only judge.
variant,direction,rank,feature_code,flag,weight,cumulative_weight,raw_strength,deduped_aliases
W-ALL,long,1,B-P1.06,,0.0293,0.0293,6.3383,
W-ALL,long,2,E51.01,,0.0257,0.0550,5.5503,
W-ALL,long,3,B-S.07,,0.0238,0.0788,5.1492,
W-ALL,long,4,B-P4.04,,0.0237,0.1024,5.1143,
W-ALL,long,5,E01.01,clock,0.0233,0.1257,5.0379,
W-ALL,long,6,E02.01,clock,0.0233,0.1490,5.0379,
W-ALL,long,7,C.02,,0.0222,0.1712,4.7981,
W-ALL,long,8,B-S.14,,0.0221,0.1933,4.7689,
W-ALL,long,9,E50.01,,0.0216,0.2149,4.6658,
W-ALL,long,10,C.06,,0.0215,0.2364,4.6575,
W-ALL,long,11,E52.01,,0.0214,0.2579,4.6378,
W-ALL,long,12,B-S.10,suspect-regime,0.0210,0.2788,4.5348,
W-ALL,long,13,B-P4.10,,0.0199,0.2987,4.3074,
W-ALL,long,14,C.03,,0.0189,0.3177,4.0960,
W-ALL,long,15,B-P3.07,,0.0187,0.3364,4.0534,
W-ALL,long,16,B-S.05,,0.0185,0.3550,4.0082,
W-ALL,long,17,E03.01,,0.0184,0.3734,3.9789,
W-ALL,long,18,C.09,,0.0180,0.3914,3.8912,
W-ALL,long,19,C.08,,0.0178,0.4091,3.8395,
W-ALL,long,20,B-P1.03,,0.0176,0.4267,3.8034,
W-ALL,long,21,B-P1.05,,0.0173,0.4440,3.7449,
W-ALL,long,22,E42.01,,0.0172,0.4612,3.7224,
W-ALL,long,23,E05.01,,0.0172,0.4784,3.7142,
W-ALL,long,24,B-P2.10,,0.0169,0.4953,3.6455,
W-ALL,long,25,B-S.03,tempo,0.0158,0.5111,3.4231,
W-ALL,long,26,B-P1.07,,0.0157,0.5268,3.3995,
W-ALL,long,27,E20.01,,0.0150,0.5418,3.2475,
