# SEL-k=9 full re-derivation (discovery-only fit). C@k = context over k-1 priors (registry-literal only at k=16). W-STAT excl = post-audit flag set. HOLDOUT numbers elsewhere are comparison material — 15 extra trials of selection bias; forward data is the only judge.
variant,direction,rank,feature_code,flag,weight,cumulative_weight,raw_strength,deduped_aliases
W-ALL,long,1,E51.01,,0.0348,0.0348,5.5503,
W-ALL,long,2,E01.01,clock,0.0330,0.0678,5.2602,
W-ALL,long,3,E02.01,clock,0.0330,0.1007,5.2602,
W-ALL,long,4,E50.01,,0.0292,0.1300,4.6658,
W-ALL,long,5,E52.01,,0.0291,0.1590,4.6378,
W-ALL,long,6,B-P1.03,,0.0242,0.1832,3.8611,
W-ALL,long,7,E03.01,,0.0241,0.2074,3.8527,
W-ALL,long,8,E42.01,,0.0233,0.2307,3.7180,
W-ALL,long,9,E05.01,,0.0233,0.2539,3.7098,
W-ALL,long,10,B-S.10,suspect-regime,0.0231,0.2770,3.6780,
W-ALL,long,11,B-S.03,tempo,0.0220,0.2990,3.5137,
W-ALL,long,12,B-S.07,,0.0210,0.3200,3.3577,
W-ALL,long,13,B-P1.02,,0.0201,0.3402,3.2142,
W-ALL,long,14,B-P1.01,,0.0199,0.3601,3.1830,
W-ALL,long,15,E20.01,,0.0193,0.3794,3.0770,
W-ALL,long,16,B-P1.06,,0.0186,0.3980,2.9610,
W-ALL,long,17,B-S.09,,0.0174,0.4154,2.7754,
W-ALL,long,18,C.05,,0.0173,0.4326,2.7572,
W-ALL,long,19,E25.01,,0.0169,0.4496,2.6985,
W-ALL,long,20,B-P2.07,,0.0168,0.4664,2.6881,
W-ALL,long,21,E12.01,,0.0158,0.4822,2.5134,
W-ALL,long,22,E08.01,,0.0152,0.4973,2.4197,
W-ALL,long,23,C.06,,0.0151,0.5125,2.4172,
W-ALL,long,24,B-S.06,,0.0150,0.5275,2.3974,
W-ALL,long,25,B-S.14,,0.0150,0.5425,2.3969,
W-ALL,long,26,B-P4.09,,0.0149,0.5574,2.3761,
W-ALL,long,27,C.10,,0.0145,0.5719,2.3101,
