# SEL-k=14 full re-derivation (discovery-only fit). C@k = context over k-1 priors (registry-literal only at k=16). W-STAT excl = post-audit flag set. HOLDOUT numbers elsewhere are comparison material — 15 extra trials of selection bias; forward data is the only judge.
variant,direction,rank,feature_code,flag,weight,cumulative_weight,raw_strength,deduped_aliases
W-ALL,long,1,E51.01,,0.0317,0.0317,5.5503,
W-ALL,long,2,E01.01,clock,0.0300,0.0616,5.2602,
W-ALL,long,3,E02.01,clock,0.0300,0.0916,5.2602,
W-ALL,long,4,E50.01,,0.0266,0.1183,4.6658,
W-ALL,long,5,E52.01,,0.0264,0.1447,4.6378,
W-ALL,long,6,C.05,,0.0222,0.1669,3.8922,
W-ALL,long,7,B-S.10,suspect-regime,0.0221,0.1890,3.8818,
W-ALL,long,8,E03.01,,0.0220,0.2110,3.8527,
W-ALL,long,9,B-P1.03,,0.0220,0.2330,3.8527,
W-ALL,long,10,E42.01,,0.0212,0.2542,3.7180,
W-ALL,long,11,E05.01,,0.0212,0.2753,3.7098,
W-ALL,long,12,B-S.07,,0.0208,0.2961,3.6489,
W-ALL,long,13,B-P1.06,,0.0206,0.3168,3.6198,
W-ALL,long,14,B-S.03,tempo,0.0200,0.3368,3.5137,
W-ALL,long,15,B-P4.04,,0.0194,0.3562,3.3967,
W-ALL,long,16,C.06,,0.0192,0.3754,3.3681,
W-ALL,long,17,B-P1.02,,0.0183,0.3937,3.2038,
W-ALL,long,18,B-P1.01,,0.0182,0.4118,3.1830,
W-ALL,long,19,E20.01,,0.0175,0.4294,3.0770,
W-ALL,long,20,B-S.08,,0.0167,0.4460,2.9210,
W-ALL,long,21,E25.01,,0.0154,0.4614,2.6985,
W-ALL,long,22,B-P2.07,,0.0153,0.4767,2.6881,
W-ALL,long,23,E12.01,,0.0143,0.4911,2.5134,
W-ALL,long,24,C.02,,0.0143,0.5054,2.5134,
W-ALL,long,25,B-S.09,,0.0142,0.5196,2.4926,
W-ALL,long,26,B-P4.10,,0.0142,0.5338,2.4898,
W-ALL,long,27,E08.01,,0.0138,0.5476,2.4197,
W-ALL,long,28,B-P1.10,,0.0132,0.5608,2.3183,
W-ALL,long,29,B-P4.09,,0.0129,0.5737,2.2581,
W-ALL,long,30,B-P3.06,,0.0128,0.5866,2.2513,
W-ALL,long,31,B-S.06,,0.0122,0.5988,2.1452,
W-ALL,long,32,B-P1.05,,0.0122,0.6110,2.1364,
W-ALL,long,33,B-P2.02,,0.0122,0.6232,2.1349,
W-ALL,long,34,B-P2.01,,0.0121,0.6352,2.1161,
W-ALL,long,35,C.10,,0.0120,0.6472,2.1063,
W-ALL,long,36,B-S.14,,0.0120,0.6592,2.1063,
W-ALL,long,37,C.03,,0.0117,0.6709,2.0480,
W-ALL,long,38,C.11,,0.0110,0.6819,1.9231,
W-ALL,long,39,C.08,,0.0109,0.6927,1.9035,
W-ALL,long,40,B-P2.04,,0.0107,0.7035,1.8805,
W-ALL,long,41,E28.01,,0.0107,0.7141,1.8728,
W-ALL,long,42,E43.01,,0.0101,0.7243,1.7756,
W-ALL,long,43,B-P4.01,,0.0100,0.7343,1.7563,
W-ALL,long,44,B-P4.05,,0.0097,0.7440,1.7080,
W-ALL,long,45,B-P3.02,,0.0097,0.7537,1.6981,
W-ALL,long,46,B-P3.04,,0.0096,0.7633,1.6799,
W-ALL,long,47,B-P3.01,,0.0096,0.7729,1.6794,
W-ALL,long,48,B-P1.08,,0.0095,0.7824,1.6690,
W-ALL,long,49,B-P2.05,,0.0094,0.7918,1.6419,
W-ALL,long,50,B-P3.07,,0.0093,0.8011,1.6361,
W-ALL,long,51,B-P2.06,,0.0092,0.8103,1.6128,
W-ALL,long,52,B-P2.08,,0.0084,0.8187,1.4751,
W-ALL,long,53,B-P3.09,,0.0083,0.8269,1.4471,
W-ALL,long,54,E19.01,,0.0081,0.8350,1.4168,
W-ALL,long,55,E13.01,,0.0078,0.8428,1.3591,
W-ALL,long,56,C.01,,0.0076,0.8504,1.3292,
W-ALL,long,57,E21.01,,0.0075,0.8578,1.3088,
W-ALL,long,58,E06.01,,0.0073,0.8651,1.2795,
W-ALL,long,59,B-S.05,,0.0071,0.8722,1.2426,
W-ALL,long,60,E16.01,,0.0064,0.8786,1.1257,
W-ALL,long,61,C.07,,0.0064,0.8850,1.1215,
W-ALL,long,62,E18.01,,0.0059,0.8909,1.0284,
W-ALL,long,63,E17.01,,0.0057,0.8966,0.9998,
W-ALL,long,64,E23.01,,0.0056,0.9022,0.9801,
W-ALL,long,65,G06.1,,0.0055,0.9077,0.9707,
W-ALL,long,66,B-P3.10,,0.0054,0.9131,0.9515,
W-ALL,long,67,C.12,,0.0054,0.9185,0.9419,
W-ALL,long,68,B-P3.05,,0.0053,0.9238,0.9224,
W-ALL,long,69,G04.1,,0.0052,0.9290,0.9118,
W-ALL,long,70,C.09,,0.0052,0.9341,0.9031,
W-ALL,long,71,E24.01,,0.0051,0.9392,0.8927,
W-ALL,long,72,E10.01,,0.0050,0.9442,0.8698,
W-ALL,long,73,B-P1.07,,0.0048,0.9490,0.8449,
W-ALL,long,74,G03.1,,0.0048,0.9537,0.8350,
W-ALL,long,75,E14.01,,0.0047,0.9584,0.8200,
W-ALL,long,76,B-P3.03,,0.0046,0.9631,0.8147,
W-ALL,long,77,E07.01,,0.0044,0.9675,0.7799,
W-ALL,long,78,B-P1.04,,0.0042,0.9717,0.7305,
W-ALL,long,79,B-P2.11,,0.0037,0.9754,0.6479,
W-ALL,long,80,B-P2.10,,0.0036,0.9789,0.6258,
W-ALL,long,81,B-P2.03,,0.0033,0.9822,0.5730,
W-ALL,long,82,E22.01,,0.0033,0.9855,0.5724,
W-ALL,long,83,E15.01,,0.0032,0.9887,0.5631,
W-ALL,long,84,B-P4.02,,0.0028,0.9915,0.4902,
W-ALL,long,85,B-P3.08,,0.0023,0.9938,0.4018,
W-ALL,long,86,C.04,,0.0019,0.9956,0.3277,
W-ALL,long,87,B-P1.11,,0.0016,0.9972,0.2780,
W-ALL,long,88,B-P1.09,,0.0016,0.9988,0.2756,
W-ALL,long,89,B-P2.09,,0.0012,1.0000,0.2106,
W-ALL,short,1,E51.01,,0.0405,0.0405,6.3478,
W-ALL,short,2,B-S.10,suspect-regime,0.0343,0.0748,5.3778,
W-ALL,short,3,E01.01,clock,0.0278,0.1027,4.3631,
W-ALL,short,4,E02.01,clock,0.0278,0.1305,4.3631,
W-ALL,short,5,C.08,,0.0260,0.1565,4.0817,
W-ALL,short,6,C.05,,0.0246,0.1811,3.8521,
W-ALL,short,7,B-S.03,tempo,0.0231,0.2042,3.6191,
W-ALL,short,8,E03.01,,0.0226,0.2268,3.5435,
W-ALL,short,9,E20.01,,0.0224,0.2492,3.5027,
W-ALL,short,10,E50.01,,0.0208,0.2700,3.2567,
W-ALL,short,11,B-S.07,,0.0206,0.2905,3.2232,
W-ALL,short,12,B-S.09,,0.0203,0.3109,3.1883,
W-ALL,short,13,B-P4.09,,0.0192,0.3300,3.0035,
W-ALL,short,14,B-P1.06,,0.0186,0.3486,2.9160,
W-ALL,short,15,E52.01,,0.0175,0.3662,2.7483,
W-ALL,short,16,B-P4.04,,0.0163,0.3825,2.5579,
W-ALL,short,17,B-S.08,,0.0159,0.3984,2.4953,
W-ALL,short,18,C.06,,0.0157,0.4141,2.4545,
W-ALL,short,19,E12.01,,0.0154,0.4295,2.4210,
W-ALL,short,20,C.03,,0.0152,0.4447,2.3788,
W-ALL,short,21,E05.01,,0.0152,0.4599,2.3752,
W-ALL,short,22,E42.01,,0.0150,0.4749,2.3516,
W-ALL,short,23,B-P3.06,,0.0144,0.4893,2.2623,
W-ALL,short,24,B-P2.07,,0.0143,0.5036,2.2332,
W-ALL,short,25,B-P4.01,,0.0143,0.5178,2.2332,
W-ALL,short,26,E25.01,,0.0138,0.5316,2.1633,
W-ALL,short,27,B-P3.07,,0.0135,0.5451,2.1153,
W-ALL,short,28,B-P2.02,,0.0133,0.5584,2.0877,
W-ALL,short,29,B-P2.01,,0.0132,0.5717,2.0760,
W-ALL,short,30,B-P1.03,,0.0132,0.5849,2.0760,
W-ALL,short,31,B-P4.05,,0.0131,0.5981,2.0585,
W-ALL,short,32,B-P2.05,,0.0127,0.6108,1.9944,
W-ALL,short,33,B-S.06,,0.0126,0.6234,1.9755,
W-ALL,short,34,E08.01,,0.0126,0.6360,1.9733,
W-ALL,short,35,B-P1.10,,0.0116,0.6476,1.8250,
W-ALL,short,36,B-P2.06,,0.0112,0.6589,1.7615,
W-ALL,short,37,C.10,,0.0111,0.6700,1.7383,
W-ALL,short,38,E19.01,,0.0111,0.6811,1.7383,
W-ALL,short,39,B-P4.02,,0.0111,0.6922,1.7378,
W-ALL,short,40,E28.01,,0.0109,0.7031,1.7091,
W-ALL,short,41,E43.01,,0.0109,0.7140,1.7091,
W-ALL,short,42,E06.01,,0.0107,0.7247,1.6794,
W-ALL,short,43,B-P4.10,,0.0107,0.7353,1.6698,
W-ALL,short,44,C.02,,0.0105,0.7459,1.6509,
W-ALL,short,45,B-P2.08,,0.0097,0.7556,1.5228,
W-ALL,short,46,E18.01,,0.0096,0.7652,1.5053,
W-ALL,short,47,B-P1.02,,0.0095,0.7747,1.4863,
W-ALL,short,48,B-P1.01,,0.0094,0.7841,1.4762,
W-ALL,short,49,B-P3.02,,0.0092,0.7933,1.4471,
W-ALL,short,50,B-P3.01,,0.0092,0.8025,1.4354,
W-ALL,short,51,B-S.14,,0.0091,0.8116,1.4311,
W-ALL,short,52,G03.1,,0.0090,0.8206,1.4063,
W-ALL,short,53,B-P3.04,,0.0089,0.8295,1.3907,
W-ALL,short,54,C.12,,0.0087,0.8381,1.3593,
W-ALL,short,55,E22.01,,0.0077,0.8459,1.2142,
W-ALL,short,56,E21.01,,0.0077,0.8536,1.2058,
W-ALL,short,57,E16.01,,0.0076,0.8612,1.1894,
W-ALL,short,58,B-P2.04,,0.0075,0.8687,1.1777,
W-ALL,short,59,B-S.05,,0.0075,0.8762,1.1734,
W-ALL,short,60,G06.1,,0.0073,0.8835,1.1472,
W-ALL,short,61,B-P1.05,,0.0072,0.8907,1.1326,
W-ALL,short,62,C.11,,0.0062,0.8970,0.9776,
W-ALL,short,63,E24.01,,0.0061,0.9030,0.9521,
W-ALL,short,64,C.01,,0.0061,0.9091,0.9502,
W-ALL,short,65,B-P2.11,,0.0060,0.9151,0.9385,
W-ALL,short,66,E17.01,,0.0059,0.9210,0.9274,
W-ALL,short,67,E13.01,,0.0054,0.9264,0.8400,
W-ALL,short,68,B-P3.10,,0.0051,0.9314,0.7949,
W-ALL,short,69,C.07,,0.0050,0.9365,0.7879,
W-ALL,short,70,B-P3.03,,0.0050,0.9414,0.7774,
W-ALL,short,71,C.04,,0.0049,0.9464,0.7720,
W-ALL,short,72,E15.01,,0.0047,0.9511,0.7366,
W-ALL,short,73,E14.01,,0.0046,0.9556,0.7180,
W-ALL,short,74,B-P3.05,,0.0044,0.9600,0.6901,
W-ALL,short,75,C.09,,0.0043,0.9644,0.6784,
W-ALL,short,76,B-P1.07,,0.0038,0.9682,0.6027,
W-ALL,short,77,E07.01,,0.0037,0.9719,0.5783,
W-ALL,short,78,B-P2.03,,0.0037,0.9756,0.5750,
W-ALL,short,79,B-P1.08,,0.0035,0.9790,0.5445,
W-ALL,short,80,B-P2.09,,0.0033,0.9823,0.5159,
W-ALL,short,81,B-P1.09,,0.0029,0.9853,0.4615,
W-ALL,short,82,E10.01,,0.0028,0.9881,0.4422,
W-ALL,short,83,B-P3.08,,0.0027,0.9909,0.4308,
W-ALL,short,84,B-P2.10,,0.0027,0.9936,0.4241,
W-ALL,short,85,E23.01,,0.0022,0.9958,0.3450,
W-ALL,short,86,G04.1,,0.0020,0.9978,0.3116,
W-ALL,short,87,B-P3.09,,0.0017,0.9995,0.2741,
W-ALL,short,88,B-P1.11,,0.0005,1.0000,0.0750,
W-ALL,short,89,B-P1.04,,0.0000,1.0000,0.0033,
W-STAT,long,1,E51.01,,0.0353,0.0353,5.5503,
W-STAT,long,2,E50.01,,0.0296,0.0649,4.6658,
W-STAT,long,3,E52.01,,0.0295,0.0943,4.6378,
W-STAT,long,4,C.05,,0.0247,0.1191,3.8922,
W-STAT,long,5,E03.01,,0.0245,0.1435,3.8527,
W-STAT,long,6,B-P1.03,,0.0245,0.1680,3.8527,
W-STAT,long,7,E42.01,,0.0236,0.1916,3.7180,
W-STAT,long,8,E05.01,,0.0236,0.2152,3.7098,
W-STAT,long,9,B-S.07,,0.0232,0.2384,3.6489,
W-STAT,long,10,B-P1.06,,0.0230,0.2614,3.6198,
W-STAT,long,11,B-P4.04,,0.0216,0.2829,3.3967,
W-STAT,long,12,C.06,,0.0214,0.3043,3.3681,
W-STAT,long,13,B-P1.02,,0.0203,0.3247,3.2038,
W-STAT,long,14,B-P1.01,,0.0202,0.3449,3.1830,
W-STAT,long,15,E20.01,,0.0195,0.3644,3.0770,
W-STAT,long,16,B-S.08,,0.0186,0.3830,2.9210,
W-STAT,long,17,E25.01,,0.0171,0.4001,2.6985,
W-STAT,long,18,B-P2.07,,0.0171,0.4172,2.6881,
W-STAT,long,19,E12.01,,0.0160,0.4332,2.5134,
W-STAT,long,20,C.02,,0.0160,0.4491,2.5134,
W-STAT,long,21,B-S.09,,0.0158,0.4650,2.4926,
W-STAT,long,22,B-P4.10,,0.0158,0.4808,2.4898,
W-STAT,long,23,E08.01,,0.0154,0.4961,2.4197,
W-STAT,long,24,B-P1.10,,0.0147,0.5109,2.3183,
W-STAT,long,25,B-P4.09,,0.0143,0.5252,2.2581,
W-STAT,long,26,B-P3.06,,0.0143,0.5395,2.2513,
W-STAT,long,27,B-S.06,,0.0136,0.5531,2.1452,
W-STAT,long,28,B-P1.05,,0.0136,0.5667,2.1364,
W-STAT,long,29,B-P2.02,,0.0136,0.5803,2.1349,
W-STAT,long,30,B-P2.01,,0.0134,0.5937,2.1161,
W-STAT,long,31,C.10,,0.0134,0.6071,2.1063,
W-STAT,long,32,B-S.14,,0.0134,0.6205,2.1063,
W-STAT,long,33,C.03,,0.0130,0.6335,2.0480,
W-STAT,long,34,C.11,,0.0122,0.6457,1.9231,
W-STAT,long,35,C.08,,0.0121,0.6578,1.9035,
W-STAT,long,36,B-P2.04,,0.0119,0.6697,1.8805,
W-STAT,long,37,E28.01,,0.0119,0.6816,1.8728,
W-STAT,long,38,E43.01,,0.0113,0.6929,1.7756,
W-STAT,long,39,B-P4.01,,0.0112,0.7041,1.7563,
W-STAT,long,40,B-P4.05,,0.0108,0.7149,1.7080,
W-STAT,long,41,B-P3.02,,0.0108,0.7257,1.6981,
W-STAT,long,42,B-P3.04,,0.0107,0.7364,1.6799,
W-STAT,long,43,B-P3.01,,0.0107,0.7470,1.6794,
W-STAT,long,44,B-P1.08,,0.0106,0.7576,1.6690,
W-STAT,long,45,B-P2.05,,0.0104,0.7681,1.6419,
W-STAT,long,46,B-P3.07,,0.0104,0.7784,1.6361,
W-STAT,long,47,B-P2.06,,0.0102,0.7887,1.6128,
W-STAT,long,48,B-P2.08,,0.0094,0.7981,1.4751,
W-STAT,long,49,B-P3.09,,0.0092,0.8072,1.4471,
W-STAT,long,50,E19.01,,0.0090,0.8162,1.4168,
W-STAT,long,51,E13.01,,0.0086,0.8249,1.3591,
W-STAT,long,52,C.01,,0.0084,0.8333,1.3292,
W-STAT,long,53,E21.01,,0.0083,0.8416,1.3088,
W-STAT,long,54,E06.01,,0.0081,0.8498,1.2795,
W-STAT,long,55,B-S.05,,0.0079,0.8577,1.2426,
W-STAT,long,56,E16.01,,0.0071,0.8648,1.1257,
W-STAT,long,57,C.07,,0.0071,0.8719,1.1215,
W-STAT,long,58,E18.01,,0.0065,0.8785,1.0284,
W-STAT,long,59,E17.01,,0.0064,0.8848,0.9998,
W-STAT,long,60,E23.01,,0.0062,0.8910,0.9801,
W-STAT,long,61,G06.1,,0.0062,0.8972,0.9707,
W-STAT,long,62,B-P3.10,,0.0060,0.9032,0.9515,
W-STAT,long,63,C.12,,0.0060,0.9092,0.9419,
W-STAT,long,64,B-P3.05,,0.0059,0.9151,0.9224,
W-STAT,long,65,G04.1,,0.0058,0.9209,0.9118,
W-STAT,long,66,C.09,,0.0057,0.9266,0.9031,
W-STAT,long,67,E24.01,,0.0057,0.9323,0.8927,
W-STAT,long,68,E10.01,,0.0055,0.9378,0.8698,
W-STAT,long,69,B-P1.07,,0.0054,0.9432,0.8449,
W-STAT,long,70,G03.1,,0.0053,0.9485,0.8350,
W-STAT,long,71,E14.01,,0.0052,0.9537,0.8200,
W-STAT,long,72,B-P3.03,,0.0052,0.9589,0.8147,
W-STAT,long,73,E07.01,,0.0050,0.9638,0.7799,
W-STAT,long,74,B-P1.04,,0.0046,0.9685,0.7305,
W-STAT,long,75,B-P2.11,,0.0041,0.9726,0.6479,
W-STAT,long,76,B-P2.10,,0.0040,0.9765,0.6258,
W-STAT,long,77,B-P2.03,,0.0036,0.9802,0.5730,
W-STAT,long,78,E22.01,,0.0036,0.9838,0.5724,
W-STAT,long,79,E15.01,,0.0036,0.9874,0.5631,
W-STAT,long,80,B-P4.02,,0.0031,0.9905,0.4902,
W-STAT,long,81,B-P3.08,,0.0026,0.9931,0.4018,
W-STAT,long,82,C.04,,0.0021,0.9951,0.3277,
W-STAT,long,83,B-P1.11,,0.0018,0.9969,0.2780,
W-STAT,long,84,B-P1.09,,0.0018,0.9987,0.2756,
W-STAT,long,85,B-P2.09,,0.0013,1.0000,0.2106,
W-STAT,short,1,E51.01,,0.0457,0.0457,6.3478,
W-STAT,short,2,C.08,,0.0294,0.0750,4.0817,
W-STAT,short,3,C.05,,0.0277,0.1028,3.8521,
W-STAT,short,4,E03.01,,0.0255,0.1282,3.5435,
W-STAT,short,5,E20.01,,0.0252,0.1534,3.5027,
W-STAT,short,6,E50.01,,0.0234,0.1769,3.2567,
W-STAT,short,7,B-S.07,,0.0232,0.2001,3.2232,
W-STAT,short,8,B-S.09,,0.0229,0.2230,3.1883,
W-STAT,short,9,B-P4.09,,0.0216,0.2446,3.0035,
W-STAT,short,10,B-P1.06,,0.0210,0.2656,2.9160,
W-STAT,short,11,E52.01,,0.0198,0.2854,2.7483,
W-STAT,short,12,B-P4.04,,0.0184,0.3038,2.5579,
W-STAT,short,13,B-S.08,,0.0180,0.3217,2.4953,
W-STAT,short,14,C.06,,0.0177,0.3394,2.4545,
W-STAT,short,15,E12.01,,0.0174,0.3568,2.4210,
